電力受渡日,商品コード,入札価格(円/kWh),売入札量累積(MW),買入札量累積(MW),分断エリア連番
20231230,1,0.00,0.0,28221.2,
20231230,1,0.00,7125.3,28221.2,
20231230,1,0.01,20516.3,28221.2,
20231230,1,0.02,20633.8,28215.1,
20231230,1,0.03,20633.8,28204.6,
20231230,1,0.04,20659.6,28193.2,
20231230,1,0.10,20659.6,28193.2,
20231230,1,0.11,20709.0,28041.1,
20231230,1,0.12,20709.0,28041.1,
20231230,1,0.20,20709.0,28033.1,
20231230,1,0.71,20863.1,28003.1,
20231230,1,0.74,20980.4,28003.1,
20231230,1,0.84,21044.6,28003.1,
20231230,1,1.00,21415.9,28003.1,
20231230,1,1.01,21415.9,27732.3,
20231230,1,1.03,21415.9,27722.3,
20231230,1,1.64,21419.9,27686.3,
20231230,1,1.74,21423.9,27686.3,
20231230,1,2.00,21431.1,27686.3,
20231230,1,2.01,21431.1,27656.2,
20231230,1,2.12,21431.1,27633.2,
20231230,1,2.13,21440.4,27553.2,
20231230,1,2.54,21444.4,27553.2,
20231230,1,2.64,21448.4,27553.2,
20231230,1,3.00,21537.1,27553.2,
20231230,1,3.01,21537.1,27093.2,
20231230,1,3.12,21537.1,27060.2,
20231230,1,3.44,21541.1,26730.2,
20231230,1,3.50,21541.2,26730.2,
20231230,1,3.54,21545.2,26730.2,
20231230,1,4.00,21545.2,26730.2,
20231230,1,4.01,21545.6,26728.6,
20231230,1,4.26,21554.9,26728.6,
20231230,1,4.34,21558.9,26728.6,
20231230,1,4.44,21562.9,26728.6,
20231230,1,4.65,21574.5,26728.6,
20231230,1,5.00,21687.7,26728.6,
20231230,1,5.01,21687.7,26429.9,
20231230,1,5.02,21690.8,26317.0,
20231230,1,5.12,21690.8,26317.0,
20231230,1,5.24,21694.8,26167.0,
20231230,1,5.34,21698.8,26167.0,
20231230,1,6.00,21723.8,26167.0,
20231230,1,6.01,21774.3,26161.0,
20231230,1,6.02,21776.7,26161.0,
20231230,1,6.14,21780.7,26161.0,
20231230,1,6.24,21785.1,26161.0,
20231230,1,6.26,21785.1,26161.0,
20231230,1,6.35,21785.1,26152.0,
20231230,1,6.38,21794.5,26112.0,
20231230,1,6.39,21794.5,26112.0,
20231230,1,6.72,21794.8,26102.0,
20231230,1,6.92,21795.6,26102.0,
20231230,1,6.95,21795.6,26102.0,
20231230,1,6.96,21795.6,26087.0,
20231230,1,7.00,21855.1,26080.7,
20231230,1,7.04,21859.1,25920.7,
20231230,1,7.14,21864.1,25920.7,
20231230,1,7.19,21864.1,25920.7,
20231230,1,7.25,21864.1,25900.7,
20231230,1,7.31,21864.1,25784.7,
20231230,1,7.50,21878.1,25774.7,
20231230,1,7.60,21878.1,25774.7,
20231230,1,7.68,21883.1,25762.4,
20231230,1,7.76,21883.1,25762.4,
20231230,1,7.82,21883.1,25754.2,
20231230,1,7.90,21883.1,25699.2,
20231230,1,7.94,21887.1,25692.6,
20231230,1,8.00,22178.9,25692.6,
20231230,1,8.01,22178.9,25586.1,
20231230,1,8.02,22185.0,25583.7,
20231230,1,8.04,22190.0,25283.7,
20231230,1,8.08,22195.0,25283.7,
20231230,1,8.12,22195.0,25283.7,
20231230,1,8.16,22195.0,25043.7,
20231230,1,8.18,22195.0,24999.4,
20231230,1,8.22,22195.0,24899.4,
20231230,1,8.26,22195.0,24890.4,
20231230,1,8.39,22195.0,24850.4,
20231230,1,8.50,22208.4,24840.4,
20231230,1,8.55,22208.4,24840.4,
20231230,1,8.60,22208.4,24796.8,
20231230,1,8.69,22208.4,24696.8,
20231230,1,8.84,22212.4,24686.8,
20231230,1,8.86,22212.4,24686.8,
20231230,1,8.90,22212.4,24665.4,
20231230,1,9.00,22272.7,24620.4,
20231230,1,9.03,22272.7,24459.9,
20231230,1,9.47,22277.6,24429.9,
20231230,1,9.58,22277.6,24429.9,
20231230,1,9.59,22277.6,24424.9,
20231230,1,9.64,22277.6,24419.9,
20231230,1,9.65,22277.6,24364.2,
20231230,1,9.66,22277.6,24264.2,
20231230,1,9.67,22277.6,24164.2,
20231230,1,9.68,22277.6,24064.2,
20231230,1,9.69,22277.6,23964.2,
20231230,1,9.74,22281.6,23923.5,
20231230,1,9.77,22281.6,23923.5,
20231230,1,9.78,22281.6,23349.5,
20231230,1,9.84,22281.6,23184.5,
20231230,1,9.91,22281.6,23184.0,
20231230,1,9.96,22281.6,23183.4,
