電力受渡日,商品コード,入札価格(円/kWh),売入札量累積(MW),買入札量累積(MW),分断エリア連番
20230313,1,0.00,0.0,36185.4,
20230313,1,0.00,8705.3,36185.4,
20230313,1,0.01,30858.1,36185.4,
20230313,1,0.02,31388.6,36171.2,
20230313,1,0.03,31388.6,36164.5,
20230313,1,0.04,31392.8,36156.5,
20230313,1,0.05,31467.8,36156.5,
20230313,1,0.06,31467.8,36155.5,
20230313,1,0.10,31484.2,36151.5,
20230313,1,0.20,31484.5,36151.5,
20230313,1,0.51,31484.5,36111.5,
20230313,1,0.60,31492.5,36071.5,
20230313,1,0.70,31493.5,36071.5,
20230313,1,0.80,31494.5,36071.5,
20230313,1,0.90,31495.5,36071.5,
20230313,1,1.00,32116.5,36071.5,
20230313,1,1.01,32116.5,35744.4,
20230313,1,1.66,32137.7,35704.4,
20230313,1,1.86,32138.7,35704.4,
20230313,1,1.95,32142.8,35704.4,
20230313,1,2.00,32184.1,35704.4,
20230313,1,2.01,32184.1,35700.4,
20230313,1,2.35,32187.1,35660.4,
20230313,1,2.40,32188.3,35660.4,
20230313,1,2.50,32188.3,35660.4,
20230313,1,2.58,32215.8,35644.4,
20230313,1,2.66,32225.9,35644.4,
20230313,1,3.00,32306.8,35644.4,
20230313,1,3.01,32306.8,35590.2,
20230313,1,3.52,32310.8,35550.2,
20230313,1,3.67,32311.8,35550.2,
20230313,1,3.89,32316.0,35550.2,
20230313,1,4.60,32319.0,35550.2,
20230313,1,4.65,32366.1,35550.2,
20230313,1,4.79,32367.3,35550.2,
20230313,1,5.00,32576.6,35550.2,
20230313,1,5.01,32576.6,35443.1,
20230313,1,5.16,32604.2,35403.1,
20230313,1,5.30,32614.2,35403.1,
20230313,1,5.38,32618.2,35403.1,
20230313,1,5.48,32619.2,35403.1,
20230313,1,5.50,32619.3,35403.1,
20230313,1,5.60,32620.1,35403.1,
20230313,1,5.66,32620.1,35403.1,
20230313,1,5.84,32624.2,35003.1,
20230313,1,6.00,32694.2,35003.1,
20230313,1,6.01,32695.4,34901.4,
20230313,1,6.26,32695.4,34901.4,
20230313,1,6.85,32698.4,34895.4,
20230313,1,6.88,32698.4,34895.4,
20230313,1,7.00,32698.4,34890.4,
20230313,1,7.02,32701.0,34888.4,
20230313,1,7.04,32701.0,34888.4,
20230313,1,7.17,32702.3,34883.4,
20230313,1,7.24,32706.3,34883.4,
20230313,1,7.29,32707.3,34883.4,
20230313,1,7.33,32707.3,34883.4,
20230313,1,7.73,32734.8,34878.4,
20230313,1,7.78,32739.0,34878.4,
20230313,1,7.95,32749.0,34878.4,
20230313,1,8.00,32749.0,34878.4,
20230313,1,8.88,32749.0,34848.4,
20230313,1,8.99,32749.0,34843.4,
20230313,1,9.00,32978.8,34760.8,
20230313,1,9.01,32978.8,34760.8,
20230313,1,9.02,32978.8,34730.8,
