商品名,説明,方向,約定日,対象期間(自),対象期間(至),売り入札量(MW),約定価格(円/kWh),約定量(MW)
22W22T21,6月1週北本[逆],東北 -> 北海道,2022/04/22,2022/05/28,2022/06/03,368.0,0.01,34.1
22W22T34,6月1週ＦＣ(順),東京 -> 中部,2022/04/22,2022/05/28,2022/06/03,1200.0,-,-
22W22T43,6月1週ＦＣ[逆],中部 -> 東京,2022/04/22,2022/05/28,2022/06/03,862.0,0.01,632.4
22W22T86,6月1週阿南紀北[逆],四国 -> 関西,2022/04/22,2022/05/28,2022/06/03,1006.0,-,-
22W22T87,6月1週本四[逆],四国 -> 中国,2022/04/22,2022/05/28,2022/06/03,1054.0,-,-
22W22T97,6月1週関門[逆],九州 -> 中国,2022/04/22,2022/05/28,2022/06/03,0.0,-,-
22W23T21,6月2週北本[逆],東北 -> 北海道,2022/04/22,2022/06/04,2022/06/10,368.0,0.01,34.1
22W23T34,6月2週ＦＣ(順),東京 -> 中部,2022/04/22,2022/06/04,2022/06/10,1200.0,0.01,12.1
22W23T43,6月2週ＦＣ[逆],中部 -> 東京,2022/04/22,2022/06/04,2022/06/10,862.0,0.01,634.2
22W23T86,6月2週阿南紀北[逆],四国 -> 関西,2022/04/22,2022/06/04,2022/06/10,1006.0,-,-
22W23T87,6月2週本四[逆],四国 -> 中国,2022/04/22,2022/06/04,2022/06/10,1054.0,-,-
22W23T97,6月2週関門[逆],九州 -> 中国,2022/04/22,2022/06/04,2022/06/10,24.8,2.01,24.8
22W24T21,6月3週北本[逆],東北 -> 北海道,2022/04/22,2022/06/11,2022/06/17,0.0,-,-
22W24T34,6月3週ＦＣ(順),東京 -> 中部,2022/04/22,2022/06/11,2022/06/17,1200.0,0.01,12.0
22W24T43,6月3週ＦＣ[逆],中部 -> 東京,2022/04/22,2022/06/11,2022/06/17,862.0,0.01,641.3
22W24T86,6月3週阿南紀北[逆],四国 -> 関西,2022/04/22,2022/06/11,2022/06/17,345.0,0.01,345.0
22W24T87,6月3週本四[逆],四国 -> 中国,2022/04/22,2022/06/11,2022/06/17,923.0,-,-
22W24T97,6月3週関門[逆],九州 -> 中国,2022/04/22,2022/06/11,2022/06/17,24.8,2.50,24.8
22W25T21,6月4週北本[逆],東北 -> 北海道,2022/04/22,2022/06/18,2022/06/24,0.0,-,-
22W25T34,6月4週ＦＣ(順),東京 -> 中部,2022/04/22,2022/06/18,2022/06/24,1200.0,0.01,12.0
22W25T43,6月4週ＦＣ[逆],中部 -> 東京,2022/04/22,2022/06/18,2022/06/24,262.0,0.70,262.0
22W25T86,6月4週阿南紀北[逆],四国 -> 関西,2022/04/22,2022/06/18,2022/06/24,345.0,0.01,345.0
22W25T87,6月4週本四[逆],四国 -> 中国,2022/04/22,2022/06/18,2022/06/24,923.0,-,-
22W25T97,6月4週関門[逆],九州 -> 中国,2022/04/22,2022/06/18,2022/06/24,0.0,-,-
22W26T21,7月1週北本[逆],東北 -> 北海道,2022/05/24,2022/06/25,2022/07/01,368.0,0.01,17.6
22W26T34,7月1週ＦＣ(順),東京 -> 中部,2022/05/24,2022/06/25,2022/07/01,1200.0,0.01,12.0
22W26T43,7月1週ＦＣ[逆],中部 -> 東京,2022/05/24,2022/06/25,2022/07/01,862.0,0.06,862.0
22W26T86,7月1週阿南紀北[逆],四国 -> 関西,2022/05/24,2022/06/25,2022/07/01,345.0,0.01,345.0
22W26T87,7月1週本四[逆],四国 -> 中国,2022/05/24,2022/06/25,2022/07/01,923.0,-,-
22W26T97,7月1週関門[逆],九州 -> 中国,2022/05/24,2022/06/25,2022/07/01,0.0,-,-
22W27T21,7月2週北本[逆],東北 -> 北海道,2022/05/24,2022/07/02,2022/07/08,268.0,0.01,17.6
22W27T34,7月2週ＦＣ(順),東京 -> 中部,2022/05/24,2022/07/02,2022/07/08,1200.0,-,-
22W27T43,7月2週ＦＣ[逆],中部 -> 東京,2022/05/24,2022/07/02,2022/07/08,862.0,0.10,862.0
22W27T86,7月2週阿南紀北[逆],四国 -> 関西,2022/05/24,2022/07/02,2022/07/08,345.0,0.01,345.0
22W27T87,7月2週本四[逆],四国 -> 中国,2022/05/24,2022/07/02,2022/07/08,923.0,0.01,923.0
22W27T97,7月2週関門[逆],九州 -> 中国,2022/05/24,2022/07/02,2022/07/08,0.0,-,-
22W28T21,7月3週北本[逆],東北 -> 北海道,2022/05/24,2022/07/09,2022/07/15,268.0,0.01,17.6
22W28T34,7月3週ＦＣ(順),東京 -> 中部,2022/05/24,2022/07/09,2022/07/15,1200.0,-,-
22W28T43,7月3週ＦＣ[逆],中部 -> 東京,2022/05/24,2022/07/09,2022/07/15,862.0,0.09,862.0
22W28T86,7月3週阿南紀北[逆],四国 -> 関西,2022/05/24,2022/07/09,2022/07/15,345.0,0.01,345.0
22W28T87,7月3週本四[逆],四国 -> 中国,2022/05/24,2022/07/09,2022/07/15,923.0,0.01,923.0
22W28T97,7月3週関門[逆],九州 -> 中国,2022/05/24,2022/07/09,2022/07/15,0.0,-,-
22W29T21,7月4週北本[逆],東北 -> 北海道,2022/05/24,2022/07/16,2022/07/22,0.0,-,-
