年月日,時刻コード,始値(円/kWh),高値(円/kWh),安値(円/kWh),終値(円/kWh),平均(円/kWh),約定量合計(kWh),約定件数
2022/04/01,1,11.78,33.67,3.00,17.50,22.79,168800,61
2022/04/01,2,14.47,20.00,14.00,17.50,15.66,77400,58
2022/04/01,3,25.32,26.32,5.00,14.95,20.79,85550,64
2022/04/01,4,17.55,19.50,12.32,18.55,17.36,77400,56
2022/04/01,5,25.32,26.32,14.00,17.50,21.51,85750,61
2022/04/01,6,15.77,19.50,14.77,16.77,16.13,77800,53
2022/04/01,7,15.89,19.50,14.89,16.89,16.22,82700,60
2022/04/01,8,16.00,20.91,14.00,16.89,15.88,78350,65
2022/04/01,9,15.89,19.50,14.89,16.89,16.17,87300,65
2022/04/01,10,16.66,21.80,14.00,19.90,18.48,97500,75
2022/04/01,11,16.55,26.32,14.00,24.42,20.98,91400,79
2022/04/01,12,17.43,27.27,14.00,23.69,21.72,91700,77
2022/04/01,13,24.77,28.00,20.00,26.12,25.07,140850,105
2022/04/01,14,24.77,26.12,1.00,1.00,22.52,117250,107
2022/04/01,15,0.01,32.15,0.01,16.10,16.30,100100,75
2022/04/01,16,0.01,26.55,0.01,16.28,15.18,87600,74
2022/04/01,17,0.01,27.52,0.01,18.92,17.15,92150,66
2022/04/01,18,0.01,35.13,0.01,13.35,11.52,68100,68
2022/04/01,19,0.01,36.41,0.01,12.97,14.08,125450,84
2022/04/01,20,0.01,28.03,0.01,10.48,5.38,165250,138
2022/04/01,21,0.01,38.13,0.01,8.91,6.53,225150,156
2022/04/01,22,0.01,38.13,0.01,2.00,6.85,199400,159
2022/04/01,23,0.01,36.09,0.01,3.21,5.38,237300,173
2022/04/01,24,0.01,27.72,0.01,7.00,4.79,200700,165
2022/04/01,25,0.01,24.08,0.01,7.00,5.72,406000,217
2022/04/01,26,0.01,24.08,0.01,5.00,5.51,415300,223
2022/04/01,27,0.01,30.00,0.01,30.00,5.15,204350,165
2022/04/01,28,0.01,24.57,0.01,18.38,7.85,248800,180
2022/04/01,29,0.01,30.00,0.01,9.96,9.00,310350,179
2022/04/01,30,0.01,28.08,0.01,28.08,8.32,186750,168
2022/04/01,31,1.00,35.00,0.01,0.01,6.13,182300,112
2022/04/01,32,11.23,35.00,0.01,24.26,12.40,157750,139
2022/04/01,33,14.15,34.77,2.00,30.01,17.00,218450,146
2022/04/01,34,17.60,35.21,5.00,26.78,26.38,282100,143
2022/04/01,35,18.38,53.00,16.38,30.01,32.35,369700,163
2022/04/01,36,28.32,36.39,18.00,31.20,29.47,217450,174
2022/04/01,37,35.00,36.53,18.00,29.20,32.05,243850,180
2022/04/01,38,36.21,41.77,18.00,33.87,33.43,261550,192
2022/04/01,39,28.32,38.14,18.00,29.53,31.54,236150,192
2022/04/01,40,28.32,37.00,14.51,28.00,28.69,300750,209
2022/04/01,41,28.32,37.28,18.00,28.42,29.11,520200,252
2022/04/01,42,27.46,41.19,20.00,25.25,28.90,595300,269
2022/04/01,43,28.32,40.00,13.63,26.29,29.84,592150,265
2022/04/01,44,26.03,40.00,23.51,24.38,28.71,770250,290
2022/04/01,45,28.32,37.09,16.53,26.32,29.75,261100,180
2022/04/01,46,18.38,36.46,16.00,25.40,25.74,250600,171
2022/04/01,47,17.30,38.11,17.30,32.93,29.69,190550,154
2022/04/01,48,14.72,36.25,13.89,18.76,23.03,221250,167
2022/04/02,1,30.69,36.97,8.43,30.76,23.32,205200,95
2022/04/02,2,33.23,33.23,8.43,16.88,20.41,175600,96
2022/04/02,3,33.41,35.15,15.00,16.88,22.46,181200,99
2022/04/02,4,33.50,36.10,8.43,17.99,23.67,165350,96
2022/04/02,5,33.43,33.43,8.43,19.16,23.37,154150,90
