商品名,説明,方向,約定日,対象期間(自),対象期間(至),売り入札量(MW),約定価格(円/kWh),約定量(MW)
25W31T97,8月1週関門[逆],九州 -> 中国,2025/06/24,2025/07/26,2025/08/01,47.0,0.50,47.0
25W32T21,8月2週北本[逆],東北 -> 北海道,2025/06/24,2025/08/02,2025/08/08,21.0,0.02,21.0
25W32T34,8月2週ＦＣ(順),東京 -> 中部,2025/06/24,2025/08/02,2025/08/08,1500.0,0.01,1500.0
25W32T43,8月2週ＦＣ[逆],中部 -> 東京,2025/06/24,2025/08/02,2025/08/08,1162.0,0.01,740.4
25W32T86,8月2週阿南紀北[逆],四国 -> 関西,2025/06/24,2025/08/02,2025/08/08,0.0,-,-
25W32T87,8月2週本四[逆],四国 -> 中国,2025/06/24,2025/08/02,2025/08/08,1120.0,1.40,1120.0
25W32T97,8月2週関門[逆],九州 -> 中国,2025/06/24,2025/08/02,2025/08/08,78.0,0.50,78.0
25W33T21,8月3週北本[逆],東北 -> 北海道,2025/06/24,2025/08/09,2025/08/15,321.0,0.01,200.0
25W33T34,8月3週ＦＣ(順),東京 -> 中部,2025/06/24,2025/08/09,2025/08/15,1500.0,-,-
25W33T43,8月3週ＦＣ[逆],中部 -> 東京,2025/06/24,2025/08/09,2025/08/15,1162.0,0.33,1162.0
25W33T86,8月3週阿南紀北[逆],四国 -> 関西,2025/06/24,2025/08/09,2025/08/15,0.0,-,-
25W33T87,8月3週本四[逆],四国 -> 中国,2025/06/24,2025/08/09,2025/08/15,1120.0,1.40,1120.0
25W33T97,8月3週関門[逆],九州 -> 中国,2025/06/24,2025/08/09,2025/08/15,0.0,-,-
25W34T21,8月4週北本[逆],東北 -> 北海道,2025/06/24,2025/08/16,2025/08/22,0.0,-,-
25W34T34,8月4週ＦＣ(順),東京 -> 中部,2025/06/24,2025/08/16,2025/08/22,1500.0,0.01,1500.0
25W34T43,8月4週ＦＣ[逆],中部 -> 東京,2025/06/24,2025/08/16,2025/08/22,1162.0,0.01,741.4
25W34T86,8月4週阿南紀北[逆],四国 -> 関西,2025/06/24,2025/08/16,2025/08/22,0.0,-,-
25W34T87,8月4週本四[逆],四国 -> 中国,2025/06/24,2025/08/16,2025/08/22,1120.0,1.40,1120.0
25W34T97,8月4週関門[逆],九州 -> 中国,2025/06/24,2025/08/16,2025/08/22,0.0,-,-
25W35T21,8月5週北本[逆],東北 -> 北海道,2025/06/24,2025/08/23,2025/08/29,0.0,-,-
25W35T34,8月5週ＦＣ(順),東京 -> 中部,2025/06/24,2025/08/23,2025/08/29,1500.0,-,-
25W35T43,8月5週ＦＣ[逆],中部 -> 東京,2025/06/24,2025/08/23,2025/08/29,1162.0,0.23,1162.0
25W35T86,8月5週阿南紀北[逆],四国 -> 関西,2025/06/24,2025/08/23,2025/08/29,0.0,-,-
25W35T87,8月5週本四[逆],四国 -> 中国,2025/06/24,2025/08/23,2025/08/29,1120.0,1.40,1120.0
25W35T97,8月5週関門[逆],九州 -> 中国,2025/06/24,2025/08/23,2025/08/29,78.0,0.50,78.0
25W36T21,9月1週北本[逆],東北 -> 北海道,2025/07/24,2025/08/30,2025/09/05,0.0,-,-
25W36T34,9月1週ＦＣ(順),東京 -> 中部,2025/07/24,2025/08/30,2025/09/05,600.0,-,-
25W36T43,9月1週ＦＣ[逆],中部 -> 東京,2025/07/24,2025/08/30,2025/09/05,262.0,0.60,262.0
25W36T86,9月1週阿南紀北[逆],四国 -> 関西,2025/07/24,2025/08/30,2025/09/05,0.0,-,-
25W36T87,9月1週本四[逆],四国 -> 中国,2025/07/24,2025/08/30,2025/09/05,1120.0,1.30,1120.0
25W36T97,9月1週関門[逆],九州 -> 中国,2025/07/24,2025/08/30,2025/09/05,48.8,0.50,48.8
25W37T21,9月2週北本[逆],東北 -> 北海道,2025/07/24,2025/09/06,2025/09/12,21.0,0.02,21.0
25W37T34,9月2週ＦＣ(順),東京 -> 中部,2025/07/24,2025/09/06,2025/09/12,600.0,0.06,600.0
25W37T43,9月2週ＦＣ[逆],中部 -> 東京,2025/07/24,2025/09/06,2025/09/12,262.0,0.43,262.0
25W37T86,9月2週阿南紀北[逆],四国 -> 関西,2025/07/24,2025/09/06,2025/09/12,0.0,-,-
25W37T87,9月2週本四[逆],四国 -> 中国,2025/07/24,2025/09/06,2025/09/12,1120.0,1.30,1120.0
25W37T97,9月2週関門[逆],九州 -> 中国,2025/07/24,2025/09/06,2025/09/12,48.8,0.50,48.8
25W38T21,9月3週北本[逆],東北 -> 北海道,2025/07/24,2025/09/13,2025/09/19,21.0,0.02,21.0
25W38T34,9月3週ＦＣ(順),東京 -> 中部,2025/07/24,2025/09/13,2025/09/19,300.0,0.06,300.0
25W38T43,9月3週ＦＣ[逆],中部 -> 東京,2025/07/24,2025/09/13,2025/09/19,0.0,-,-
25W38T86,9月3週阿南紀北[逆],四国 -> 関西,2025/07/24,2025/09/13,2025/09/19,0.0,-,-
25W38T87,9月3週本四[逆],四国 -> 中国,2025/07/24,2025/09/13,2025/09/19,1120.0,0.32,1120.0
25W38T97,9月3週関門[逆],九州 -> 中国,2025/07/24,2025/09/13,2025/09/19,0.0,-,-
25W39T21,9月4週北本[逆],東北 -> 北海道,2025/07/24,2025/09/20,2025/09/26,21.0,0.02,21.0
25W39T34,9月4週ＦＣ(順),東京 -> 中部,2025/07/24,2025/09/20,2025/09/26,300.0,0.11,300.0
25W39T43,9月4週ＦＣ[逆],中部 -> 東京,2025/07/24,2025/09/20,2025/09/26,0.0,-,-
25W39T86,9月4週阿南紀北[逆],四国 -> 関西,2025/07/24,2025/09/20,2025/09/26,0.0,-,-
25W39T87,9月4週本四[逆],四国 -> 中国,2025/07/24,2025/09/20,2025/09/26,1120.0,0.32,1120.0
25W39T97,9月4週関門[逆],九州 -> 中国,2025/07/24,2025/09/20,2025/09/26,0.0,-,-
