年月日,時刻コード,システムプライス,売500MW,買500MW,売1000MW,買1000MW,売5000MW,買5000MW
2021/04/02,38,7.37,6.45,7.37,6.10,7.37,5.40,9.53
2021/04/02,39,6.45,6.10,7.23,6.04,7.29,5.37,9.00
2021/04/02,40,6.45,6.04,6.80,5.94,7.29,5.37,8.44
2021/04/02,41,7.37,7.23,7.39,6.66,7.39,5.29,8.44
2021/04/02,42,7.37,6.51,7.37,6.04,7.39,5.29,8.44
2021/04/02,43,7.37,7.06,7.37,6.49,7.40,5.20,8.44
2021/04/02,44,6.51,5.68,7.06,5.63,7.06,4.96,7.97
2021/04/02,45,5.57,5.45,5.63,5.39,5.63,5.06,7.50
2021/04/02,46,5.45,5.40,5.57,5.32,5.63,5.04,7.40
2021/04/02,47,5.63,5.36,5.68,5.35,6.51,4.84,7.59
2021/04/02,48,5.63,5.38,5.63,5.35,5.68,4.35,7.59
2021/04/03,1,5.68,5.63,5.78,5.63,6.16,5.11,7.52
2021/04/03,2,5.63,5.63,5.68,5.63,5.78,5.11,7.39
2021/04/03,3,5.63,5.46,5.63,5.46,5.63,4.96,7.40
2021/04/03,4,5.63,5.49,5.63,5.46,5.68,5.03,7.43
2021/04/03,5,5.68,5.63,6.02,5.57,6.37,5.10,7.43
2021/04/03,6,6.02,5.70,6.74,5.68,7.37,5.10,7.62
2021/04/03,7,7.36,6.56,7.38,6.34,7.38,5.17,8.31
2021/04/03,8,6.73,6.51,7.36,6.34,7.36,5.20,7.62
2021/04/03,9,6.60,6.51,7.37,6.34,7.37,5.24,7.62
2021/04/03,10,6.81,6.51,7.03,6.43,7.37,5.33,7.62
2021/04/03,11,7.36,6.74,7.36,6.53,7.38,5.29,7.62
2021/04/03,12,7.36,6.81,7.36,6.73,7.38,5.29,7.62
2021/04/03,13,6.14,5.68,6.14,5.63,6.51,5.11,7.76
2021/04/03,14,5.63,5.61,5.68,5.46,6.14,4.94,7.41
2021/04/03,15,5.37,5.28,5.43,5.13,5.46,4.66,6.51
2021/04/03,16,5.28,5.13,5.37,5.11,5.46,4.54,5.63
2021/04/03,17,5.11,5.04,5.16,4.94,5.29,4.22,5.63
2021/04/03,18,5.04,4.94,5.04,4.94,5.11,4.19,5.63
2021/04/03,19,4.76,4.61,4.77,4.40,4.84,3.00,5.28
2021/04/03,20,4.40,4.21,4.40,4.21,4.65,0.01,5.03
2021/04/03,21,4.10,3.91,4.24,3.88,4.25,0.01,4.77
2021/04/03,22,3.00,0.60,3.80,0.01,4.10,0.01,4.61
2021/04/03,23,1.00,0.01,1.00,0.01,3.63,0.01,4.40
2021/04/03,24,1.00,0.01,1.00,0.01,3.80,0.01,4.34
2021/04/03,25,0.01,0.01,0.01,0.01,0.01,0.01,4.10
2021/04/03,26,0.01,0.01,0.01,0.01,0.01,0.01,4.10
2021/04/03,27,0.01,0.01,0.01,0.01,1.00,0.01,4.22
2021/04/03,28,0.01,0.01,0.01,0.01,1.00,0.01,4.38
2021/04/03,29,3.00,1.00,3.91,0.01,4.05,0.01,4.85
2021/04/03,30,4.09,4.05,4.20,3.88,4.20,0.01,5.04
2021/04/03,31,4.66,4.61,4.81,4.55,4.81,0.01,5.57
2021/04/03,32,4.91,4.91,5.11,4.81,5.15,3.63,5.63
2021/04/03,33,5.38,5.15,5.49,5.15,5.55,4.48,6.03
2021/04/03,34,5.49,5.42,5.54,5.38,5.63,4.84,7.37
2021/04/03,35,6.17,5.68,6.66,5.63,7.07,5.16,7.98
2021/04/03,36,7.29,7.07,7.37,7.00,7.37,5.37,8.85
2021/04/03,37,7.57,7.40,7.74,7.40,7.76,5.68,10.08
2021/04/03,38,7.74,7.57,7.88,7.40,8.14,6.02,10.12
2021/04/03,39,7.43,7.39,7.45,7.39,7.45,5.88,10.00
2021/04/03,40,7.39,7.37,7.43,7.37,7.43,5.68,8.85
2021/04/03,41,7.38,7.36,7.38,6.80,7.42,5.56,8.44
2021/04/03,42,7.36,6.77,7.36,6.67,7.36,5.51,8.44
2021/04/03,43,6.81,6.52,7.19,5.84,7.19,5.23,8.44
