受渡日,時刻コード,売り入札量(kWh),買い入札量(kWh),約定総量(kWh),システムプライス(円/kWh),エリアプライス北海道(円/kWh),エリアプライス東北(円/kWh),エリアプライス東京(円/kWh),エリアプライス中部(円/kWh),エリアプライス北陸(円/kWh),エリアプライス関西(円/kWh),エリアプライス中国(円/kWh),エリアプライス四国(円/kWh),エリアプライス九州(円/kWh),売りブロック入札総量(kWh),売りブロック約定総量(kWh),買いブロック入札総量(kWh),買いブロック約定総量(kWh)
2019/04/01,1,13840600,16318000,12728150,8.21,9.47,6.66,6.66,5.75,5.75,5.75,5.75,5.75,5.75,3159150,2312150,871600,451100
2019/04/01,2,14258900,16302850,12603900,6.66,9.47,6.66,6.66,5.48,5.48,5.48,5.48,5.48,5.48,3601800,2330800,1409600,646600
2019/04/01,3,14397600,16305850,12625350,6.51,9.47,6.59,6.59,5.20,5.20,5.20,5.20,5.20,5.20,3779500,2348000,1612000,687500
2019/04/01,4,14576650,16482900,12665700,6.51,6.59,6.59,6.59,5.04,5.04,5.04,5.04,5.04,5.04,3990200,2363700,1729000,704500
2019/04/01,5,14985000,16601100,12809700,6.49,6.57,6.57,6.57,5.73,5.73,5.73,5.73,5.73,5.73,4180900,2379900,1768500,780500
2019/04/01,6,15124050,16749850,13033150,6.57,6.57,6.57,6.57,5.85,5.85,5.85,5.85,5.85,5.85,4348100,2547100,1809000,871500
2019/04/01,7,15303900,16855850,13274950,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,4517500,2716500,1813500,977000
2019/04/01,8,15490600,16884700,13308900,6.51,6.59,6.59,6.59,5.65,5.65,5.65,5.65,5.65,5.65,4674500,2873000,1814700,1003000
2019/04/01,9,15421600,16678700,13293700,6.49,6.49,6.49,6.49,5.85,5.85,5.85,5.85,5.85,5.85,4701800,2874800,1863600,1056000
2019/04/01,10,15673550,16753100,13394150,6.40,6.49,6.49,6.49,5.51,5.51,5.51,5.51,5.51,5.51,4857450,3026450,2021500,1156500
2019/04/01,11,15802100,16644600,13278450,6.38,6.47,6.47,6.47,5.51,5.51,5.51,5.51,5.51,5.51,5138100,3082800,2119500,1189500
2019/04/01,12,16200550,17000750,13411250,6.47,6.54,6.54,6.54,5.65,5.65,5.65,5.65,5.65,5.65,5473300,3140300,2240400,1248100
2019/04/01,13,16824950,17693900,13858450,6.47,6.56,6.56,6.56,5.85,5.85,5.85,5.85,5.85,5.85,5789950,3166950,2310850,1299600
2019/04/01,14,17396150,18469450,14388050,6.65,27.30,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,5917150,3181450,2395350,1434600
2019/04/01,15,17769900,18898050,14606400,6.69,19.00,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6145200,3212200,2240350,1437100
2019/04/01,16,17905050,19104150,14788000,7.48,19.00,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,6152450,3263450,1936350,1413100
2019/04/01,17,19269100,19963200,15982000,6.31,12.83,6.31,6.31,5.99,5.99,5.99,5.99,5.99,5.99,6238450,3352450,1693850,1288100
2019/04/01,18,19576450,20243100,16043750,6.36,12.81,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6004250,3018750,1486350,1137100
2019/04/01,19,20001450,20323950,15884050,6.31,12.83,6.30,6.30,6.30,6.30,6.30,6.30,6.30,6.30,5958750,2796250,1472350,1123600
2019/04/01,20,20824100,19995150,15954600,6.24,12.83,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6440200,2554700,1548350,1199600
2019/04/01,21,21671450,19960200,15607700,5.78,12.83,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,6439850,2216950,1791850,1443100
2019/04/01,22,22463850,20147900,16215800,5.51,12.83,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,6760100,2365100,2047850,1699100
2019/04/01,23,22872000,20265300,16176850,5.46,12.81,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,6987350,2337850,2062850,1714100
2019/04/01,24,22945050,20046000,16191100,5.45,12.81,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,6996950,2272950,2171350,1822600
2019/04/01,25,23974950,19386750,15991100,4.72,12.06,4.79,4.79,3.98,3.98,3.98,3.98,3.98,3.98,7236250,2308750,2226850,1878100
2019/04/01,26,23868950,19364600,15962500,4.72,12.72,4.79,4.79,3.87,3.87,3.87,3.87,3.87,3.87,7224200,2302700,2226850,1878100
2019/04/01,27,22350750,20122600,16411900,6.16,12.83,6.18,6.18,5.49,5.49,5.49,5.49,5.49,5.49,6845550,2280050,2154050,1805600
2019/04/01,28,21965400,20137400,16317400,6.17,12.83,6.23,6.23,5.99,5.99,5.99,5.99,5.99,5.99,6659600,2236600,2056550,1708100
2019/04/01,29,21200800,19950800,16129950,6.24,28.00,6.30,6.30,5.99,5.99,5.99,5.99,5.99,5.99,6527350,2261350,1883550,1535100
2019/04/01,30,20505950,20036550,16034300,6.30,30.00,6.30,6.30,6.30,6.30,6.30,6.30,6.30,6.30,5954600,2192600,1965550,1617100
2019/04/01,31,19564650,19812250,15705400,6.38,29.00,6.45,6.45,5.99,5.99,5.99,5.99,5.99,5.99,5064700,1899200,2084150,1735600
2019/04/01,32,17887800,20402000,14980650,6.60,31.00,6.80,6.80,6.80,6.80,6.80,6.80,6.80,6.80,3950550,1585550,2087650,1739100
2019/04/01,33,17833150,20488000,15169050,8.26,31.00,10.50,10.50,7.58,7.58,7.58,7.58,7.58,7.58,4077300,1878800,2116350,1717600
2019/04/01,34,17604650,20662600,15125950,8.26,40.01,10.47,10.47,7.58,7.58,7.58,7.58,7.58,7.58,4300550,2203550,2037850,1574100
2019/04/01,35,17828200,20917900,15586800,9.66,42.00,12.66,12.66,8.03,8.03,8.03,8.03,8.03,8.03,4621250,2650250,2227350,1592600
2019/04/01,36,17754100,21071950,15456050,10.34,34.99,12.66,12.66,10.34,10.34,10.34,10.34,10.34,10.34,4836300,2805300,2255350,1549600
2019/04/01,37,17029650,20692650,15097550,12.13,34.99,30.00,30.00,10.34,10.34,10.34,10.34,10.34,10.34,4527950,2830950,2150850,1426600
2019/04/01,38,16782350,20596750,15093150,12.97,30.00,30.00,30.00,10.34,10.34,10.34,10.34,10.34,10.34,4400550,2945550,2093850,1369600
2019/04/01,39,16741450,20425600,15200900,12.42,25.05,25.05,25.05,10.34,10.34,10.34,10.34,10.34,10.34,4213050,2908050,2107350,1369600
2019/04/01,40,16534650,20118150,15167750,11.89,20.00,20.00,20.00,10.34,10.34,10.34,10.34,10.34,10.34,4047800,2907800,2121850,1369600
2019/04/01,41,16297400,19899800,14916200,11.89,20.00,20.00,20.00,10.34,10.34,10.34,10.34,10.34,10.34,3915400,2760400,2135850,1369600
2019/04/01,42,16109450,19782750,14747350,11.89,24.52,24.52,24.52,10.34,10.34,10.34,10.34,10.34,10.34,3678050,2578050,2161350,1369600
2019/04/01,43,15815250,19599300,14489100,11.97,14.89,14.89,14.89,10.34,10.34,10.34,10.34,10.34,10.34,3583050,2433050,2201850,1395600
2019/04/01,44,15502550,19131200,14171500,10.34,12.84,12.84,12.84,10.34,10.34,10.34,10.34,10.34,10.34,3381150,2271150,2196350,1395600
2019/04/01,45,14013850,18657800,12663250,11.17,15.00,20.00,20.00,10.34,10.34,10.34,10.34,10.34,10.34,3224650,2084650,2184350,1395600
2019/04/01,46,13818650,18219250,12615400,10.34,12.11,15.00,15.00,9.74,9.74,9.74,9.74,9.74,9.74,3004800,2014800,2081350,1395600
2019/04/01,47,13433500,17739500,12424500,9.74,12.60,12.60,12.60,9.74,9.74,9.74,9.74,9.74,9.74,2690200,1905200,1780350,1260100
2019/04/01,48,13021600,17144050,12310900,9.74,9.74,9.74,9.74,9.74,9.74,9.74,9.74,9.74,9.74,2265650,1825650,1255850,861100
2019/04/02,1,13460700,17585700,12389750,8.65,10.71,8.65,8.65,8.65,8.65,8.65,8.65,8.65,8.65,2521150,1754650,1034600,675100
2019/04/02,2,14353300,17726100,13069550,7.21,10.68,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,3484600,2552600,1321700,800600
2019/04/02,3,14437450,17839750,13253000,6.53,10.67,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,3652850,2720350,1482100,978600
2019/04/02,4,14614550,17938500,13452700,6.53,9.53,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,3821600,2889100,1621100,1051100
2019/04/02,5,15028400,17935350,13469750,6.48,10.66,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,3990300,2907800,1689100,1110600
2019/04/02,6,15217100,17892550,13506200,6.36,9.53,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,4159500,2926000,1757100,1138600
2019/04/02,7,15476700,17963400,13585450,6.31,9.53,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,4328350,2944850,1904100,1189100
2019/04/02,8,15646450,17986650,13604250,6.31,9.53,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,4497200,2963700,1938100,1223100
2019/04/02,9,15473200,17851900,13540100,6.36,9.53,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,4647950,2963950,1937600,1222600
2019/04/02,10,15729000,17920800,13791350,6.31,10.66,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,4803150,3114150,1943600,1206600
2019/04/02,11,15657050,17814000,13738250,6.47,10.68,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,4812250,3114450,1940100,1156100
2019/04/02,12,15703750,18178950,13771250,6.53,10.70,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,4826700,3115200,2107100,1298100
2019/04/02,13,16018500,18638350,13875700,8.27,10.71,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,5015100,3116600,2139600,1387100
2019/04/02,14,16467500,18814250,14042400,8.27,42.00,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,5240650,3118450,2148600,1433600
2019/04/02,15,17329000,18946700,14230050,6.74,34.99,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,5950500,3178500,2027600,1387600
2019/04/02,16,17835300,19322500,14519750,6.74,20.00,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,6130150,3189650,1923450,1308450
2019/04/02,17,19687400,20162900,15961450,6.42,34.99,6.53,6.53,5.81,5.81,5.81,5.81,5.81,5.81,6565000,3268000,1916400,1356600
2019/04/02,18,20462050,20442850,16302050,6.42,14.90,6.53,6.53,5.81,5.81,5.81,5.81,5.81,5.81,6854350,3350350,1858600,1307600
2019/04/02,19,21425350,20720700,16776400,6.30,15.00,6.46,6.46,5.61,5.61,5.61,5.61,5.61,5.61,7327550,3542550,1894850,1344850
2019/04/02,20,22173550,20957300,17075150,6.24,14.34,6.46,6.46,5.38,5.38,5.38,5.38,5.38,5.38,8058500,3627500,1950850,1400850
2019/04/02,21,22653550,20882000,16897450,6.16,13.76,6.34,6.34,5.29,5.29,5.29,5.29,5.29,5.29,8654650,3628250,1948950,1398950
2019/04/02,22,22716100,21111650,16849450,6.23,12.84,6.34,6.34,5.38,5.38,5.38,5.38,5.38,5.38,8723350,3553350,1872950,1322950
2019/04/02,23,23541550,21035700,16786100,6.21,13.28,6.36,6.36,5.04,5.04,5.04,5.04,5.04,5.04,9256500,3527500,1764400,1214400
