商品名,説明,方向,約定日,対象期間(自),対象期間(至),売り入札量(MW),約定価格(円/kWh),約定量(MW)
23W22T21,6月1週北本[逆],東北 -> 北海道,2023/04/24,2023/05/27,2023/06/02,376.0,0.01,22.2
23W22T34,6月1週ＦＣ(順),東京 -> 中部,2023/04/24,2023/05/27,2023/06/02,1200.0,-,-
23W22T43,6月1週ＦＣ[逆],中部 -> 東京,2023/04/24,2023/05/27,2023/06/02,262.0,0.60,262.0
23W22T86,6月1週阿南紀北[逆],四国 -> 関西,2023/04/24,2023/05/27,2023/06/02,739.0,0.01,176.0
23W22T87,6月1週本四[逆],四国 -> 中国,2023/04/24,2023/05/27,2023/06/02,1001.0,-,-
23W22T97,6月1週関門[逆],九州 -> 中国,2023/04/24,2023/05/27,2023/06/02,0.0,-,-
23W23T21,6月2週北本[逆],東北 -> 北海道,2023/04/24,2023/06/03,2023/06/09,76.0,0.01,22.5
23W23T34,6月2週ＦＣ(順),東京 -> 中部,2023/04/24,2023/06/03,2023/06/09,1200.0,-,-
23W23T43,6月2週ＦＣ[逆],中部 -> 東京,2023/04/24,2023/06/03,2023/06/09,262.0,0.60,262.0
23W23T86,6月2週阿南紀北[逆],四国 -> 関西,2023/04/24,2023/06/03,2023/06/09,739.0,0.01,176.0
23W23T87,6月2週本四[逆],四国 -> 中国,2023/04/24,2023/06/03,2023/06/09,1001.0,-,-
23W23T97,6月2週関門[逆],九州 -> 中国,2023/04/24,2023/06/03,2023/06/09,0.0,-,-
23W24T21,6月3週北本[逆],東北 -> 北海道,2023/04/24,2023/06/10,2023/06/16,0.0,-,-
23W24T34,6月3週ＦＣ(順),東京 -> 中部,2023/04/24,2023/06/10,2023/06/16,900.0,-,-
23W24T43,6月3週ＦＣ[逆],中部 -> 東京,2023/04/24,2023/06/10,2023/06/16,562.0,0.12,562.0
23W24T86,6月3週阿南紀北[逆],四国 -> 関西,2023/04/24,2023/06/10,2023/06/16,739.0,0.01,176.0
23W24T87,6月3週本四[逆],四国 -> 中国,2023/04/24,2023/06/10,2023/06/16,1001.0,-,-
23W24T97,6月3週関門[逆],九州 -> 中国,2023/04/24,2023/06/10,2023/06/16,0.0,-,-
23W25T21,6月4週北本[逆],東北 -> 北海道,2023/04/24,2023/06/17,2023/06/23,376.0,0.01,22.2
23W25T34,6月4週ＦＣ(順),東京 -> 中部,2023/04/24,2023/06/17,2023/06/23,1200.0,-,-
23W25T43,6月4週ＦＣ[逆],中部 -> 東京,2023/04/24,2023/06/17,2023/06/23,862.0,0.02,862.0
23W25T86,6月4週阿南紀北[逆],四国 -> 関西,2023/04/24,2023/06/17,2023/06/23,739.0,0.01,176.0
