商品名,説明,方向,約定日,対象期間(自),対象期間(至),売り入札量(MW),約定価格(円/kWh),約定量(MW)
19W23T21,6月1週北本[逆],東北 -> 北海道,2019/04/24,2019/06/01,2019/06/07,0.0,-,-
19W23T34,6月1週ＦＣ(順),東京 -> 中部,2019/04/24,2019/06/01,2019/06/07,600.0,-,-
19W23T43,6月1週ＦＣ[逆],中部 -> 東京,2019/04/24,2019/06/01,2019/06/07,212.0,1.00,212.0
19W23T86,6月1週阿南紀北[逆],四国 -> 関西,2019/04/24,2019/06/01,2019/06/07,69.7,-,-
19W23T87,6月1週本四[逆],四国 -> 中国,2019/04/24,2019/06/01,2019/06/07,983.6,-,-
19W23T97,6月1週関門[逆],九州 -> 中国,2019/04/24,2019/06/01,2019/06/07,0.0,-,-
19W24T21,6月2週北本[逆],東北 -> 北海道,2019/04/24,2019/06/08,2019/06/14,0.0,-,-
19W24T34,6月2週ＦＣ(順),東京 -> 中部,2019/04/24,2019/06/08,2019/06/14,600.0,-,-
19W24T43,6月2週ＦＣ[逆],中部 -> 東京,2019/04/24,2019/06/08,2019/06/14,212.0,1.36,212.0
19W24T86,6月2週阿南紀北[逆],四国 -> 関西,2019/04/24,2019/06/08,2019/06/14,69.7,-,-
19W24T87,6月2週本四[逆],四国 -> 中国,2019/04/24,2019/06/08,2019/06/14,841.6,-,-
19W24T97,6月2週関門[逆],九州 -> 中国,2019/04/24,2019/06/08,2019/06/14,0.0,-,-
19W25T21,6月3週北本[逆],東北 -> 北海道,2019/04/24,2019/06/15,2019/06/21,299.0,0.10,299.0
19W25T34,6月3週ＦＣ(順),東京 -> 中部,2019/04/24,2019/06/15,2019/06/21,300.0,-,-
19W25T43,6月3週ＦＣ[逆],中部 -> 東京,2019/04/24,2019/06/15,2019/06/21,0.0,-,-
19W25T86,6月3週阿南紀北[逆],四国 -> 関西,2019/04/24,2019/06/15,2019/06/21,69.7,0.01,69.7
19W25T87,6月3週本四[逆],四国 -> 中国,2019/04/24,2019/06/15,2019/06/21,841.6,0.01,841.6
19W25T97,6月3週関門[逆],九州 -> 中国,2019/04/24,2019/06/15,2019/06/21,0.0,-,-
19W26T21,6月4週北本[逆],東北 -> 北海道,2019/04/24,2019/06/22,2019/06/28,299.0,0.10,299.0
19W26T34,6月4週ＦＣ(順),東京 -> 中部,2019/04/24,2019/06/22,2019/06/28,300.0,-,-
19W26T43,6月4週ＦＣ[逆],中部 -> 東京,2019/04/24,2019/06/22,2019/06/28,0.0,-,-
19W26T86,6月4週阿南紀北[逆],四国 -> 関西,2019/04/24,2019/06/22,2019/06/28,69.7,0.01,69.7
19W26T87,6月4週本四[逆],四国 -> 中国,2019/04/24,2019/06/22,2019/06/28,841.6,0.01,841.6
19W26T97,6月4週関門[逆],九州 -> 中国,2019/04/24,2019/06/22,2019/06/28,0.0,-,-
19W27T21,7月1週北本[逆],東北 -> 北海道,2019/05/22,2019/06/29,2019/07/05,0.0,-,-
19W27T34,7月1週ＦＣ(順),東京 -> 中部,2019/05/22,2019/06/29,2019/07/05,0.0,-,-
19W27T43,7月1週ＦＣ[逆],中部 -> 東京,2019/05/22,2019/06/29,2019/07/05,0.0,-,-
19W27T86,7月1週阿南紀北[逆],四国 -> 関西,2019/05/22,2019/06/29,2019/07/05,69.7,0.01,69.7
19W27T87,7月1週本四[逆],四国 -> 中国,2019/05/22,2019/06/29,2019/07/05,841.6,0.01,841.6
19W27T97,7月1週関門[逆],九州 -> 中国,2019/05/22,2019/06/29,2019/07/05,0.0,-,-
19W28T21,7月2週北本[逆],東北 -> 北海道,2019/05/22,2019/07/06,2019/07/12,9.0,0.77,9.0
19W28T34,7月2週ＦＣ(順),東京 -> 中部,2019/05/22,2019/07/06,2019/07/12,600.0,0.01,30.0
