受渡日,時刻コード,売り入札量(kWh),買い入札量(kWh),約定総量(kWh),システムプライス(円/kWh),エリアプライス北海道(円/kWh),エリアプライス東北(円/kWh),エリアプライス東京(円/kWh),エリアプライス中部(円/kWh),エリアプライス北陸(円/kWh),エリアプライス関西(円/kWh),エリアプライス中国(円/kWh),エリアプライス四国(円/kWh),エリアプライス九州(円/kWh),売りブロック入札総量(kWh),売りブロック約定総量(kWh),買いブロック入札総量(kWh),買いブロック約定総量(kWh)
2015/04/01,1,3311000,1241500,681000,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,1760000,0,,
2015/04/01,2,4898000,1350500,685500,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,2830000,0,,
2015/04/01,3,5833000,1338000,680500,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,3251000,0,,
2015/04/01,4,5632000,1332500,680500,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,3276000,0,,
2015/04/01,5,5585000,1329000,707000,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,3119000,0,,
2015/04/01,6,5561500,1326000,703000,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,3119000,0,,
2015/04/01,7,5471000,1322000,724000,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,3001000,0,,
2015/04/01,8,5472000,1446000,734000,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,3001000,0,,
2015/04/01,9,5371500,1421500,682500,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,3080000,0,,
2015/04/01,10,5549500,1375500,681500,10.13,10.13,10.13,10.13,10.13,10.13,10.13,10.13,10.13,10.13,3080000,0,,
2015/04/01,11,5496000,1362500,677000,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,3132000,0,,
2015/04/01,12,5546500,1353000,675000,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,3132000,0,,
2015/04/01,13,5074500,1382500,630000,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,3132000,0,,
2015/04/01,14,4810500,1426500,656000,10.48,10.48,10.48,10.48,10.48,10.48,10.48,10.48,10.48,10.48,3132000,0,,
2015/04/01,15,4315000,1430500,598500,11.10,11.10,11.10,11.10,11.10,11.10,11.10,11.10,11.10,11.10,2755000,0,,
2015/04/01,16,3362500,1551500,599000,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,1870000,0,,
2015/04/01,17,3269000,1502000,559500,11.42,11.42,11.42,11.42,11.42,11.42,11.42,11.42,11.42,11.42,1678000,0,,
2015/04/01,18,3907000,1692000,498500,11.60,11.60,11.60,11.60,11.60,11.60,11.60,11.60,11.60,11.60,1663500,500,,
2015/04/01,19,3275500,1824500,498000,12.58,12.58,12.58,12.58,12.58,12.58,12.58,12.58,12.58,12.58,1580000,500,,
2015/04/01,20,3215000,1875000,507000,13.70,13.70,13.70,13.70,13.70,13.70,13.70,13.70,13.70,13.70,1584500,500,,
2015/04/01,21,3491500,1976000,599500,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,1588500,500,,
2015/04/01,22,3482500,1968000,588500,13.94,13.94,13.94,13.94,13.94,13.94,13.94,13.94,13.94,13.94,1588500,500,,
2015/04/01,23,3341500,2019500,636000,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,1588000,0,,
2015/04/01,24,3356000,1933500,562500,13.65,13.70,13.70,13.70,13.53,13.53,13.53,13.53,13.53,13.53,1588000,0,,
2015/04/01,25,4287000,1623500,613000,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32,1933500,0,,
2015/04/01,26,4459500,1556500,616500,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32,1933500,0,,
2015/04/01,27,3173500,1859000,495000,13.30,13.70,13.70,13.70,12.81,12.81,12.81,12.81,12.81,12.81,1692000,0,,
2015/04/01,28,3101000,1817000,496500,13.53,13.70,13.70,13.70,12.81,12.81,12.81,12.81,12.81,12.81,1696500,0,,
2015/04/01,29,3124500,1862500,493500,13.53,13.70,13.70,13.70,12.81,12.81,12.81,12.81,12.81,12.81,1696500,0,,
2015/04/01,30,3165500,1805000,490500,13.53,13.70,13.70,13.70,12.81,12.81,12.81,12.81,12.81,12.81,1696500,0,,
2015/04/01,31,3374000,1824000,479000,12.81,13.70,13.70,13.70,12.58,12.58,12.58,12.58,12.58,12.58,1696500,0,,
2015/04/01,32,3358000,1823000,484000,13.53,13.90,13.90,13.90,12.81,12.81,12.81,12.81,12.81,12.81,1696500,0,,
2015/04/01,33,3199500,1878000,510500,13.90,14.13,14.13,14.13,13.53,13.53,13.53,13.53,13.53,13.53,1942000,0,,
2015/04/01,34,3212500,1965500,580000,14.13,14.13,14.13,14.13,14.13,14.13,14.13,14.13,14.13,14.13,1147000,0,,
2015/04/01,35,3011500,1717500,556500,14.13,14.13,14.13,14.13,14.13,14.13,14.13,14.13,14.13,14.13,1145500,0,,
2015/04/01,36,2973500,1780500,558500,14.24,14.24,14.24,14.24,14.24,14.24,14.24,14.24,14.24,14.24,1145500,0,,
2015/04/01,37,2993000,1827500,538500,14.13,14.13,14.13,14.13,14.13,14.13,14.13,14.13,14.13,14.13,1145500,0,,
2015/04/01,38,3136000,1816000,598000,14.13,14.13,14.13,14.13,14.13,14.13,14.13,14.13,14.13,14.13,1145500,0,,
2015/04/01,39,3288500,1742000,611000,13.94,13.94,13.94,13.94,13.94,13.94,13.94,13.94,13.94,13.94,1145500,0,,
2015/04/01,40,3326500,1677500,533500,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,1145500,0,,
2015/04/01,41,3413000,1557000,570500,11.59,11.59,11.59,11.59,11.59,11.59,11.59,11.59,11.59,11.59,1585500,0,,
2015/04/01,42,3724500,1432500,631000,11.59,11.59,11.59,11.59,11.59,11.59,11.59,11.59,11.59,11.59,1581500,0,,
2015/04/01,43,4216000,1375000,716500,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32,1731500,0,,
2015/04/01,44,3987500,1403500,701000,11.10,11.10,11.10,11.10,11.10,11.10,11.10,11.10,11.10,11.10,2016500,0,,
2015/04/01,45,3878500,1422000,689500,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,1486500,0,,
2015/04/01,46,3760000,1410000,651500,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,1386500,0,,
2015/04/01,47,3800000,1355500,705500,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,1236500,0,,
2015/04/01,48,3691000,1344000,713000,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,1016500,0,,
2015/04/02,1,2617500,1180000,609500,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,1235500,0,,
2015/04/02,2,3928500,1365000,612500,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,2135500,0,,
2015/04/02,3,4663500,1300000,595000,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,2235500,0,,
2015/04/02,4,4663500,1295000,595000,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.93,2335500,0,,
2015/04/02,5,4670000,1292000,593000,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,2325000,0,,
2015/04/02,6,4675000,1389500,598500,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,2325000,0,,
2015/04/02,7,4655000,1533500,699000,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32,2325000,0,,
2015/04/02,8,4656000,1581500,700000,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,2325000,0,,
2015/04/02,9,4566500,1585000,699500,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,2225000,0,,
2015/04/02,10,4466000,1588500,699500,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,2125000,0,,
2015/04/02,11,4607500,1627500,645500,11.33,11.33,11.33,11.33,11.33,11.33,11.33,11.33,11.33,11.33,2268000,0,,
2015/04/02,12,4606000,1617000,634000,11.33,11.33,11.33,11.33,11.33,11.33,11.33,11.33,11.33,11.33,2268000,0,,
2015/04/02,13,4036500,1641500,650000,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,2268000,0,,
2015/04/02,14,4026500,1625500,644000,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,2268000,0,,
2015/04/02,15,4034000,1421000,625000,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,10.91,2418000,0,,
2015/04/02,16,3366500,1521500,689000,10.95,10.95,10.95,10.95,10.95,10.95,10.95,10.95,10.95,10.95,1768000,0,,
2015/04/02,17,3635000,1494500,669000,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,1533000,0,,
2015/04/02,18,4355500,1659000,543500,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,2253500,0,,
2015/04/02,19,4938500,1747500,511000,11.59,11.59,11.59,11.59,11.59,11.59,11.59,11.59,11.59,11.59,2403500,0,,
2015/04/02,20,5140000,1799000,515000,12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,2559000,0,,
2015/04/02,21,5636000,1839500,574000,11.63,11.75,11.75,11.75,11.58,11.58,11.58,11.58,11.58,11.58,3563000,0,,
2015/04/02,22,5777500,1848000,580500,11.78,11.98,11.98,11.98,11.63,11.63,11.63,11.63,11.63,11.63,3563000,0,,
2015/04/02,23,5841500,1839500,612000,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,3563000,0,,
2015/04/02,24,5580000,1807000,633500,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,3593000,0,,
2015/04/02,25,6860000,1528000,489500,10.59,11.01,11.01,11.01,10.42,10.42,10.42,10.42,10.42,10.42,3900000,0,,
2015/04/02,26,6908000,1471500,486000,10.59,10.74,10.74,10.74,10.42,10.42,10.42,10.42,10.42,10.42,3900000,0,,
2015/04/02,27,6172500,1786500,616000,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.38,4065000,0,,
2015/04/02,28,6530500,1757000,670000,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32,4069500,0,,
2015/04/02,29,6377000,1813500,691500,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32,3801500,0,,
2015/04/02,30,6340500,1759000,707000,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,3801500,0,,
