年月日,時刻コード,始値(円/kWh),高値(円/kWh),安値(円/kWh),終値(円/kWh),平均(円/kWh),約定量合計(kWh),約定件数
2017/04/01,1,8.30,13.48,7.08,11.79,11.42,36550,31
2017/04/01,2,8.20,12.15,8.20,10.67,9.75,91200,52
2017/04/01,3,8.20,11.20,8.20,10.67,9.68,110050,48
2017/04/01,4,8.20,11.03,8.20,10.71,9.63,109950,42
2017/04/01,5,8.20,10.80,8.20,9.93,9.91,30600,33
2017/04/01,6,8.20,11.26,8.20,9.93,9.97,34550,26
2017/04/01,7,8.20,10.99,8.20,9.76,10.06,31550,26
2017/04/01,8,8.20,11.21,8.20,9.76,10.08,31500,24
2017/04/01,9,8.20,11.09,8.20,9.76,9.65,54650,28
2017/04/01,10,8.10,10.94,8.10,9.76,9.55,54500,29
2017/04/01,11,8.30,10.83,8.30,9.93,10.15,25700,22
2017/04/01,12,8.70,11.25,8.25,9.93,8.59,70250,41
2017/04/01,13,9.58,11.65,9.08,9.90,9.55,90100,29
2017/04/01,14,10.68,12.42,9.18,9.18,9.58,79250,47
2017/04/01,15,10.62,12.55,9.62,12.15,11.28,11500,20
2017/04/01,16,11.20,12.75,10.20,11.63,12.25,11300,21
2017/04/01,17,10.46,11.99,9.46,10.00,10.68,13750,31
2017/04/01,18,12.14,12.14,9.40,11.14,10.40,75400,49
2017/04/01,19,12.50,18.96,11.47,11.47,13.52,29750,28
2017/04/01,20,12.33,13.80,11.24,11.36,11.90,45100,36
2017/04/01,21,10.84,11.46,9.50,9.50,10.25,41700,36
2017/04/01,22,10.06,12.34,8.56,11.17,9.73,73150,53
2017/04/01,23,10.06,11.25,9.05,9.79,9.48,123400,49
2017/04/01,24,10.01,12.42,9.01,9.50,9.70,74500,39
2017/04/01,25,8.12,12.28,6.81,7.91,8.71,228050,104
2017/04/01,26,7.79,12.28,6.69,8.27,8.19,238600,103
2017/04/01,27,8.51,9.48,7.02,8.18,8.41,299850,104
2017/04/01,28,8.81,10.80,7.00,7.00,8.61,266500,90
2017/04/01,29,8.48,10.12,7.08,10.12,8.73,209850,105
2017/04/01,30,8.96,9.55,7.08,9.55,8.49,236350,84
2017/04/01,31,8.96,9.99,6.82,9.88,8.36,218250,76
2017/04/01,32,9.22,11.25,7.08,10.18,8.32,195000,111
2017/04/01,33,9.93,12.67,6.68,11.80,8.46,184050,66
2017/04/01,34,10.78,13.80,7.08,9.40,9.57,155400,92
2017/04/01,35,11.25,13.99,9.21,9.93,9.75,188600,61
2017/04/01,36,11.86,14.33,9.30,10.42,9.88,135900,63
2017/04/01,37,12.23,14.33,9.40,9.40,10.05,130850,85
2017/04/01,38,12.23,14.33,9.29,11.38,10.07,139400,93
2017/04/01,39,12.23,14.33,9.40,9.40,9.83,198650,103
2017/04/01,40,10.73,14.33,9.36,9.40,9.74,222450,99
2017/04/01,41,10.68,14.33,9.37,9.91,9.69,210850,91
2017/04/01,42,10.63,14.33,8.45,10.19,9.81,189450,86
2017/04/01,43,8.83,14.00,7.08,9.46,9.89,211050,91
2017/04/01,44,8.59,12.94,7.08,9.92,9.80,169300,77
2017/04/01,45,12.02,12.02,7.08,9.93,10.08,152500,73
2017/04/01,46,11.90,11.90,7.08,9.63,9.82,243500,99
2017/04/01,47,9.11,12.94,7.08,9.93,9.30,277800,110
2017/04/01,48,9.01,12.83,7.08,9.93,9.34,126050,74
2017/04/02,1,10.53,12.78,8.09,9.73,9.77,239250,72
2017/04/02,2,7.90,10.85,7.43,9.70,9.04,224350,74
2017/04/02,3,7.80,10.90,7.74,9.32,9.04,292250,100
2017/04/02,4,8.22,12.78,8.07,9.01,9.61,396100,120
2017/04/02,5,8.60,12.78,8.02,8.80,9.88,436300,133
2017/04/02,6,8.60,12.78,5.74,5.74,9.43,403000,129
2017/04/02,7,8.62,11.38,8.02,8.42,9.31,372300,135
2017/04/02,8,8.60,11.37,8.38,8.53,9.33,281350,103
2017/04/02,9,8.50,12.18,8.50,9.93,9.53,200100,76
2017/04/02,10,8.30,12.55,8.30,9.93,9.84,140250,55
2017/04/02,11,7.90,11.21,7.90,9.93,10.05,81700,35
2017/04/02,12,7.90,13.37,7.32,7.32,10.26,130450,51
2017/04/02,13,7.90,10.83,7.49,9.40,9.18,202850,68
2017/04/02,14,7.20,9.88,7.13,7.72,8.69,273450,90
2017/04/02,15,6.70,9.88,6.70,8.21,8.36,294800,97
2017/04/02,16,6.70,9.88,6.63,9.07,8.03,214000,82
2017/04/02,17,6.42,9.11,5.64,9.02,7.34,187650,66
2017/04/02,18,8.80,12.55,5.64,9.09,7.78,147650,64
2017/04/02,19,6.93,10.45,5.64,7.59,7.29,256450,97
2017/04/02,20,7.62,10.43,5.64,6.94,7.33,223550,68
2017/04/02,21,6.70,13.78,5.64,6.41,7.80,227500,68
2017/04/02,22,6.70,10.44,5.64,8.33,6.96,147750,60
2017/04/02,23,6.70,10.45,5.64,8.84,6.75,132500,59
2017/04/02,24,8.68,10.45,5.64,6.40,6.70,164550,67
2017/04/02,25,6.70,10.44,5.63,7.28,6.58,169950,67
2017/04/02,26,6.41,10.45,5.63,7.50,6.73,125900,60
2017/04/02,27,8.77,10.42,5.63,6.82,6.14,136950,70
2017/04/02,28,6.70,10.45,5.63,6.78,6.68,168100,72
