年月日,時刻コード,始値(円/kWh),高値(円/kWh),安値(円/kWh),終値(円/kWh),平均(円/kWh),約定量合計(kWh),約定件数
2023/04/01,1,14.79,16.64,5.74,14.68,10.55,157850,77
2023/04/01,2,9.40,14.09,9.30,9.51,12.66,94900,52
2023/04/01,3,11.83,12.94,9.02,9.02,10.82,134550,76
2023/04/01,4,11.08,12.00,9.02,11.09,10.71,180950,74
2023/04/01,5,11.02,11.38,7.14,11.38,9.95,219550,103
2023/04/01,6,10.99,11.99,5.84,11.99,9.87,213400,96
2023/04/01,7,11.30,11.45,6.00,11.45,10.20,220950,109
2023/04/01,8,11.52,12.00,7.00,11.62,10.67,209800,89
2023/04/01,9,13.23,13.43,7.00,7.00,11.79,105400,65
2023/04/01,10,14.11,14.31,7.00,14.31,13.08,95500,59
2023/04/01,11,14.13,14.33,11.72,14.33,13.31,165950,65
2023/04/01,12,14.49,14.69,11.89,14.40,13.93,185250,93
2023/04/01,13,14.14,14.34,12.14,12.65,13.43,214450,95
2023/04/01,14,11.27,11.27,9.01,10.63,9.87,172400,55
2023/04/01,15,10.35,10.35,4.84,10.24,7.98,87000,86
2023/04/01,16,0.01,6.10,0.01,6.10,2.42,258300,100
2023/04/01,17,0.01,1.78,0.01,0.10,0.53,442800,172
2023/04/01,18,0.01,1.01,0.01,0.10,0.40,458600,149
2023/04/01,19,0.01,1.00,0.01,0.01,0.06,426550,116
2023/04/01,20,0.01,0.50,0.01,0.01,0.04,283200,108
2023/04/01,21,0.01,0.01,0.01,0.01,0.01,324000,72
2023/04/01,22,0.01,0.01,0.01,0.01,0.01,143550,46
2023/04/01,23,0.01,0.01,0.01,0.01,0.01,149300,39
2023/04/01,24,0.01,0.01,0.01,0.01,0.01,149550,42
2023/04/01,25,0.01,0.01,0.01,0.01,0.01,111450,42
2023/04/01,26,0.01,0.01,0.01,0.01,0.01,112750,43
2023/04/01,27,0.01,0.01,0.01,0.01,0.01,118350,50
2023/04/01,28,0.01,0.01,0.01,0.01,0.01,323050,78
2023/04/01,29,0.01,0.50,0.01,0.50,0.07,414250,143
2023/04/01,30,0.01,1.01,0.01,0.01,0.28,588150,190
2023/04/01,31,0.01,1.00,0.01,0.11,0.33,345100,156
2023/04/01,32,0.01,4.89,0.01,4.89,0.63,367700,160
2023/04/01,33,0.01,10.50,0.01,5.01,2.60,428900,207
2023/04/01,34,1.53,10.84,0.01,9.43,4.71,415800,184
