商品名,説明,方向,約定日,対象期間(自),対象期間(至),売り入札量(MW),約定価格(円/kWh),約定量(MW)
21W23T21,6月1週北本[逆],東北 -> 北海道,2021/04/22,2021/05/29,2021/06/04,271.0,0.01,78.5
21W23T34,6月1週ＦＣ(順),東京 -> 中部,2021/04/22,2021/05/29,2021/06/04,1200.0,-,-
21W23T43,6月1週ＦＣ[逆],中部 -> 東京,2021/04/22,2021/05/29,2021/06/04,812.0,0.01,405.8
21W23T86,6月1週阿南紀北[逆],四国 -> 関西,2021/04/22,2021/05/29,2021/06/04,0.0,-,-
21W23T87,6月1週本四[逆],四国 -> 中国,2021/04/22,2021/05/29,2021/06/04,1000.0,-,-
21W23T97,6月1週関門[逆],九州 -> 中国,2021/04/22,2021/05/29,2021/06/04,0.0,-,-
21W24T21,6月2週北本[逆],東北 -> 北海道,2021/04/22,2021/06/05,2021/06/11,0.0,-,-
21W24T34,6月2週ＦＣ(順),東京 -> 中部,2021/04/22,2021/06/05,2021/06/11,1200.0,-,-
21W24T43,6月2週ＦＣ[逆],中部 -> 東京,2021/04/22,2021/06/05,2021/06/11,812.0,0.01,404.8
21W24T86,6月2週阿南紀北[逆],四国 -> 関西,2021/04/22,2021/06/05,2021/06/11,0.0,-,-
21W24T87,6月2週本四[逆],四国 -> 中国,2021/04/22,2021/06/05,2021/06/11,1000.0,-,-
21W24T97,6月2週関門[逆],九州 -> 中国,2021/04/22,2021/06/05,2021/06/11,0.0,-,-
21W25T21,6月3週北本[逆],東北 -> 北海道,2021/04/22,2021/06/12,2021/06/18,71.0,0.05,71.0
21W25T34,6月3週ＦＣ(順),東京 -> 中部,2021/04/22,2021/06/12,2021/06/18,1500.0,-,-
21W25T43,6月3週ＦＣ[逆],中部 -> 東京,2021/04/22,2021/06/12,2021/06/18,1112.0,0.01,391.0
21W25T86,6月3週阿南紀北[逆],四国 -> 関西,2021/04/22,2021/06/12,2021/06/18,69.7,-,-
21W25T87,6月3週本四[逆],四国 -> 中国,2021/04/22,2021/06/12,2021/06/18,1000.0,-,-
21W25T97,6月3週関門[逆],九州 -> 中国,2021/04/22,2021/06/12,2021/06/18,0.0,-,-
21W26T21,6月4週北本[逆],東北 -> 北海道,2021/04/22,2021/06/19,2021/06/25,71.0,0.05,71.0
21W26T34,6月4週ＦＣ(順),東京 -> 中部,2021/04/22,2021/06/19,2021/06/25,1500.0,-,-
21W26T43,6月4週ＦＣ[逆],中部 -> 東京,2021/04/22,2021/06/19,2021/06/25,1112.0,0.01,386.0
21W26T86,6月4週阿南紀北[逆],四国 -> 関西,2021/04/22,2021/06/19,2021/06/25,69.7,-,-
21W26T87,6月4週本四[逆],四国 -> 中国,2021/04/22,2021/06/19,2021/06/25,1000.0,-,-
21W26T97,6月4週関門[逆],九州 -> 中国,2021/04/22,2021/06/19,2021/06/25,0.0,-,-
21W27T21,7月1週北本[逆],東北 -> 北海道,2021/05/24,2021/06/26,2021/07/02,71.0,0.01,63.8
21W27T34,7月1週ＦＣ(順),東京 -> 中部,2021/05/24,2021/06/26,2021/07/02,1500.0,-,-
21W27T43,7月1週ＦＣ[逆],中部 -> 東京,2021/05/24,2021/06/26,2021/07/02,1112.0,0.01,493.6
21W27T86,7月1週阿南紀北[逆],四国 -> 関西,2021/05/24,2021/06/26,2021/07/02,69.7,-,-
