商品名,説明,方向,約定日,対象期間(自),対象期間(至),売り入札量(MW),約定価格(円/kWh),約定量(MW)
20W23T21,6月1週北本[逆],東北 -> 北海道,2020/04/22,2020/05/30,2020/06/05,0.0,-,-
20W23T34,6月1週ＦＣ(順),東京 -> 中部,2020/04/22,2020/05/30,2020/06/05,0.0,-,-
20W23T43,6月1週ＦＣ[逆],中部 -> 東京,2020/04/22,2020/05/30,2020/06/05,0.0,-,-
20W23T86,6月1週阿南紀北[逆],四国 -> 関西,2020/04/22,2020/05/30,2020/06/05,69.7,0.01,69.7
20W23T87,6月1週本四[逆],四国 -> 中国,2020/04/22,2020/05/30,2020/06/05,861.6,-,-
20W23T97,6月1週関門[逆],九州 -> 中国,2020/04/22,2020/05/30,2020/06/05,0.0,-,-
20W24T21,6月2週北本[逆],東北 -> 北海道,2020/04/22,2020/06/06,2020/06/12,0.0,-,-
20W24T34,6月2週ＦＣ(順),東京 -> 中部,2020/04/22,2020/06/06,2020/06/12,0.0,-,-
20W24T43,6月2週ＦＣ[逆],中部 -> 東京,2020/04/22,2020/06/06,2020/06/12,0.0,-,-
20W24T86,6月2週阿南紀北[逆],四国 -> 関西,2020/04/22,2020/06/06,2020/06/12,0.0,-,-
20W24T87,6月2週本四[逆],四国 -> 中国,2020/04/22,2020/06/06,2020/06/12,861.6,0.01,5.1
20W24T97,6月2週関門[逆],九州 -> 中国,2020/04/22,2020/06/06,2020/06/12,0.0,-,-
20W25T21,6月3週北本[逆],東北 -> 北海道,2020/04/22,2020/06/13,2020/06/19,0.0,-,-
20W25T34,6月3週ＦＣ(順),東京 -> 中部,2020/04/22,2020/06/13,2020/06/19,0.0,-,-
20W25T43,6月3週ＦＣ[逆],中部 -> 東京,2020/04/22,2020/06/13,2020/06/19,0.0,-,-
20W25T86,6月3週阿南紀北[逆],四国 -> 関西,2020/04/22,2020/06/13,2020/06/19,0.0,-,-
20W25T87,6月3週本四[逆],四国 -> 中国,2020/04/22,2020/06/13,2020/06/19,861.6,0.01,5.1
20W25T97,6月3週関門[逆],九州 -> 中国,2020/04/22,2020/06/13,2020/06/19,0.0,-,-
20W26T21,6月4週北本[逆],東北 -> 北海道,2020/04/22,2020/06/20,2020/06/26,0.0,-,-
20W26T34,6月4週ＦＣ(順),東京 -> 中部,2020/04/22,2020/06/20,2020/06/26,0.0,-,-
20W26T43,6月4週ＦＣ[逆],中部 -> 東京,2020/04/22,2020/06/20,2020/06/26,0.0,-,-
20W26T86,6月4週阿南紀北[逆],四国 -> 関西,2020/04/22,2020/06/20,2020/06/26,0.0,-,-
20W26T87,6月4週本四[逆],四国 -> 中国,2020/04/22,2020/06/20,2020/06/26,861.6,0.01,5.1
20W26T97,6月4週関門[逆],九州 -> 中国,2020/04/22,2020/06/20,2020/06/26,0.0,-,-
20W27T21,7月1週北本[逆],東北 -> 北海道,2020/05/22,2020/06/27,2020/07/03,0.0,-,-
20W27T34,7月1週ＦＣ(順),東京 -> 中部,2020/05/22,2020/06/27,2020/07/03,600.0,-,-
20W27T43,7月1週ＦＣ[逆],中部 -> 東京,2020/05/22,2020/06/27,2020/07/03,212.0,1.26,212.0
20W27T86,7月1週阿南紀北[逆],四国 -> 関西,2020/05/22,2020/06/27,2020/07/03,69.7,-,-
20W27T87,7月1週本四[逆],四国 -> 中国,2020/05/22,2020/06/27,2020/07/03,862.6,0.01,4.8
20W27T97,7月1週関門[逆],九州 -> 中国,2020/05/22,2020/06/27,2020/07/03,0.0,-,-
20W28T21,7月2週北本[逆],東北 -> 北海道,2020/05/22,2020/07/04,2020/07/10,269.0,0.01,129.5
20W28T34,7月2週ＦＣ(順),東京 -> 中部,2020/05/22,2020/07/04,2020/07/10,600.0,-,-
20W28T43,7月2週ＦＣ[逆],中部 -> 東京,2020/05/22,2020/07/04,2020/07/10,212.0,1.41,212.0
20W28T86,7月2週阿南紀北[逆],四国 -> 関西,2020/05/22,2020/07/04,2020/07/10,69.7,-,-
20W28T87,7月2週本四[逆],四国 -> 中国,2020/05/22,2020/07/04,2020/07/10,862.6,0.01,4.8
20W28T97,7月2週関門[逆],九州 -> 中国,2020/05/22,2020/07/04,2020/07/10,0.0,-,-
20W29T21,7月3週北本[逆],東北 -> 北海道,2020/05/22,2020/07/11,2020/07/17,269.0,0.01,128.0
20W29T34,7月3週ＦＣ(順),東京 -> 中部,2020/05/22,2020/07/11,2020/07/17,600.0,-,-
20W29T43,7月3週ＦＣ[逆],中部 -> 東京,2020/05/22,2020/07/11,2020/07/17,212.0,1.61,212.0
20W29T86,7月3週阿南紀北[逆],四国 -> 関西,2020/05/22,2020/07/11,2020/07/17,69.7,-,-
20W29T87,7月3週本四[逆],四国 -> 中国,2020/05/22,2020/07/11,2020/07/17,862.6,0.01,4.8
20W29T97,7月3週関門[逆],九州 -> 中国,2020/05/22,2020/07/11,2020/07/17,0.0,-,-
