受渡日,時刻コード,売り入札量(kWh),買い入札量(kWh),約定総量(kWh),システムプライス(円/kWh),エリアプライス北海道(円/kWh),エリアプライス東北(円/kWh),エリアプライス東京(円/kWh),エリアプライス中部(円/kWh),エリアプライス北陸(円/kWh),エリアプライス関西(円/kWh),エリアプライス中国(円/kWh),エリアプライス四国(円/kWh),エリアプライス九州(円/kWh),売りブロック入札総量(kWh),売りブロック約定総量(kWh),買いブロック入札総量(kWh),買いブロック約定総量(kWh)
2012/04/01,1,628500,913500,365000,12.50,10.52,10.52,10.52,15.08,15.08,15.08,15.08,15.08,15.08,,,,
2012/04/01,2,621500,908000,364000,13.75,10.50,10.50,10.50,15.11,15.11,15.11,15.11,15.11,15.11,,,,
2012/04/01,3,589500,901500,355500,13.50,10.62,10.62,10.62,15.50,15.50,15.50,15.50,15.50,15.50,,,,
2012/04/01,4,576500,995500,356500,14.71,10.62,10.62,10.62,16.18,16.18,16.18,16.18,16.18,16.18,,,,
2012/04/01,5,580500,990500,359000,14.70,10.85,10.85,10.85,16.18,16.18,16.18,16.18,16.18,16.18,,,,
2012/04/01,6,581000,988000,360000,14.70,10.85,10.85,10.85,16.18,16.18,16.18,16.18,16.18,16.18,,,,
2012/04/01,7,492000,987000,361000,14.70,10.85,10.85,10.85,16.18,16.18,16.18,16.18,16.18,16.18,,,,
2012/04/01,8,492000,986000,361000,14.70,10.85,10.85,10.85,16.18,16.18,16.18,16.18,16.18,16.18,,,,
2012/04/01,9,507000,987500,361500,14.70,10.85,10.85,10.85,16.18,16.18,16.18,16.18,16.18,16.18,,,,
2012/04/01,10,495000,990500,356500,14.68,10.85,10.85,10.85,16.61,16.61,16.61,16.61,16.61,16.61,,,,
2012/04/01,11,592000,1000000,368500,14.57,10.85,10.85,10.85,15.99,15.99,15.99,15.99,15.99,15.99,,,,
2012/04/01,12,621000,904500,360000,14.00,10.85,10.85,10.85,15.05,15.05,15.05,15.05,15.05,15.05,,,,
2012/04/01,13,606000,909000,344000,12.10,10.62,10.62,10.62,15.50,15.50,15.50,15.50,15.50,15.50,,,,
2012/04/01,14,630500,913000,367000,12.00,10.62,10.62,10.62,14.50,14.50,14.50,14.50,14.50,14.50,,,,
2012/04/01,15,729500,906500,409500,10.85,10.52,10.52,10.52,14.56,14.56,14.56,14.56,14.56,14.56,,,,
2012/04/01,16,793500,837500,475000,10.84,10.44,10.44,10.44,14.27,14.27,14.27,14.27,14.27,14.27,,,,
2012/04/01,17,804500,999500,496500,10.85,10.44,10.44,10.44,14.11,14.11,14.11,14.11,14.11,14.11,,,,
2012/04/01,18,787000,1011000,476000,10.85,10.44,10.44,10.44,14.35,14.35,14.35,14.35,14.35,14.35,,,,
2012/04/01,19,696000,1025000,407500,12.88,11.52,11.52,11.52,14.97,14.97,14.97,14.97,14.97,14.97,,,,
2012/04/01,20,644500,1038500,373500,13.30,11.52,11.52,11.52,15.75,15.75,15.75,15.75,15.75,15.75,,,,
2012/04/01,21,620500,1015000,318500,13.30,11.52,11.52,11.52,14.85,14.85,14.85,14.85,14.85,14.85,,,,
2012/04/01,22,619000,1074000,338500,14.35,11.52,11.52,11.52,15.75,15.75,15.75,15.75,15.75,15.75,,,,
2012/04/01,23,618500,1077000,336000,14.21,11.52,11.52,11.52,15.75,15.75,15.75,15.75,15.75,15.75,,,,
2012/04/01,24,611500,1074500,336000,14.44,11.52,11.52,11.52,15.75,15.75,15.75,15.75,15.75,15.75,,,,
2012/04/01,25,614000,1038500,352000,13.50,11.52,11.52,11.52,15.75,15.75,15.75,15.75,15.75,15.75,,,,
2012/04/01,26,614500,1036000,352000,13.50,11.52,11.52,11.52,15.75,15.75,15.75,15.75,15.75,15.75,,,,
2012/04/01,27,670000,1039500,350000,13.20,11.52,11.52,11.52,14.95,14.95,14.95,14.95,14.95,14.95,,,,
2012/04/01,28,620000,989000,333000,12.88,11.52,11.52,11.52,13.86,13.86,13.86,13.86,13.86,13.86,,,,
