年月日,時刻コード,始値(円/kWh),高値(円/kWh),安値(円/kWh),終値(円/kWh),平均(円/kWh),約定量合計(kWh),約定件数
2019/04/01,1,6.66,6.66,6.18,6.56,6.20,25100,11
2019/04/01,2,6.66,6.76,5.58,5.73,6.19,44400,22
2019/04/01,3,6.59,6.69,5.43,5.60,6.19,69700,25
2019/04/01,4,6.59,6.69,5.43,5.65,6.19,35700,20
2019/04/01,5,6.57,6.99,5.81,5.95,6.19,34450,21
2019/04/01,6,6.57,6.67,5.57,5.71,6.26,3050,13
2019/04/01,7,6.59,7.72,5.77,6.99,6.99,42300,25
2019/04/01,8,6.59,7.72,5.75,7.01,6.65,81600,34
2019/04/01,9,6.49,7.62,5.82,6.93,6.84,112400,38
2019/04/01,10,6.49,7.62,5.43,6.90,6.31,43300,26
2019/04/01,11,6.47,6.88,5.51,5.56,6.35,37350,27
2019/04/01,12,6.54,6.97,5.43,5.43,6.04,13650,22
2019/04/01,13,6.56,9.42,5.49,5.49,6.52,11950,28
2019/04/01,14,6.65,26.80,5.57,26.80,6.36,39450,35
2019/04/01,15,6.66,19.00,5.43,18.50,6.35,52900,36
2019/04/01,16,7.48,18.50,5.46,7.38,6.68,66950,36
2019/04/01,17,6.81,7.04,5.34,6.74,5.81,15050,16
2019/04/01,18,6.86,7.04,5.34,5.35,6.18,75350,28
2019/04/01,19,6.81,6.81,5.00,6.20,5.96,79700,26
2019/04/01,20,6.74,6.74,5.00,5.94,5.95,187550,55
2019/04/01,21,3.84,6.48,3.84,6.08,5.90,214000,61
2019/04/01,22,3.17,6.01,3.17,6.01,5.59,19250,20
2019/04/01,23,3.65,5.96,3.65,5.56,5.38,16050,20
2019/04/01,24,5.95,5.95,3.61,5.38,5.43,13650,21
2019/04/01,25,4.79,6.50,2.37,4.08,4.41,44500,36
2019/04/01,26,4.89,6.50,2.37,4.72,4.23,37950,38
2019/04/01,27,6.66,7.70,2.77,5.08,5.94,66200,63
2019/04/01,28,6.67,7.70,2.72,5.09,5.92,42200,56
2019/04/01,29,6.74,7.70,4.74,5.66,5.56,26750,43
2019/04/01,30,6.80,29.50,4.80,5.72,6.18,75600,58
2019/04/01,31,6.88,17.00,4.88,4.91,5.97,50150,68
2019/04/01,32,6.99,31.10,4.86,4.90,6.23,88950,58
2019/04/01,33,9.98,31.10,5.35,9.26,9.57,96150,57
2019/04/01,34,9.98,40.11,6.00,7.68,12.11,60500,73
2019/04/01,35,11.38,42.10,6.00,6.18,14.39,57550,45
2019/04/01,36,13.34,35.09,6.00,11.39,12.15,113650,71
2019/04/01,37,32.00,35.09,6.41,10.00,19.47,250100,468
2019/04/01,38,32.00,32.00,6.70,10.00,18.16,223300,159
2019/04/01,39,27.05,28.00,7.33,10.00,14.54,200950,107
2019/04/01,40,22.00,22.00,7.95,10.00,13.33,227700,125
2019/04/01,41,22.00,22.00,7.72,8.41,13.56,237550,125
2019/04/01,42,26.52,26.52,8.21,8.21,14.16,181100,100
2019/04/01,43,16.89,18.00,9.08,9.10,11.57,157300,73
2019/04/01,44,13.34,13.34,6.49,8.84,10.70,123500,77
2019/04/01,45,22.00,22.00,7.64,7.64,12.35,248100,142
2019/04/01,46,17.00,17.00,7.73,8.26,11.03,180850,92
2019/04/01,47,12.74,15.30,6.05,6.05,10.39,172250,81
2019/04/01,48,12.74,12.74,7.72,9.43,9.45,170400,78
2019/04/02,1,10.18,12.44,6.30,8.65,11.03,106400,42
2019/04/02,2,7.90,7.90,5.94,5.94,7.18,31350,25
2019/04/02,3,7.08,7.08,5.94,5.94,6.55,29650,22
2019/04/02,4,6.47,7.00,6.47,6.47,6.55,34450,19
2019/04/02,5,6.48,7.82,6.48,6.48,6.80,54250,21
2019/04/02,6,6.42,7.80,6.42,6.42,6.83,59850,22
2019/04/02,7,6.42,7.80,6.42,7.80,6.82,59900,21
2019/04/02,8,6.42,7.88,6.14,6.14,6.80,61650,21
2019/04/02,9,6.42,7.85,6.42,7.19,6.83,62950,23
2019/04/02,10,6.42,7.80,6.42,6.94,6.82,63250,22
2019/04/02,11,6.63,7.80,6.53,6.94,6.83,64300,21
2019/04/02,12,6.70,7.81,6.05,6.97,6.77,65700,27
2019/04/02,13,8.89,9.05,7.63,8.79,8.68,41550,32
2019/04/02,14,8.89,42.01,7.63,8.79,9.07,42250,32
2019/04/02,15,6.84,34.49,5.57,7.50,7.06,47600,37
2019/04/02,16,7.02,19.50,5.36,6.14,6.86,52400,31
2019/04/02,17,6.49,34.49,5.74,5.74,7.08,27850,22
2019/04/02,18,7.81,13.86,5.71,6.42,6.23,27900,23
2019/04/02,19,7.61,7.61,5.51,6.73,6.21,50450,24
2019/04/02,20,6.42,6.92,5.28,6.24,6.07,26050,25
2019/04/02,21,6.30,6.92,5.19,6.16,5.99,25000,27
2019/04/02,22,6.30,6.92,4.88,6.23,5.95,21400,26
2019/04/02,23,6.32,8.00,4.94,7.04,5.91,19800,27
2019/04/02,24,6.27,8.00,2.31,3.70,5.74,22950,36
2019/04/02,25,5.31,21.86,3.00,21.86,5.57,44200,42
2019/04/02,26,5.31,14.63,3.00,4.23,5.65,41700,44
2019/04/02,27,6.30,9.66,4.54,7.24,7.75,144850,61
2019/04/02,28,6.30,8.77,4.96,6.21,7.46,121350,62
2019/04/02,29,6.45,16.01,5.11,6.33,7.11,147150,67
2019/04/02,30,7.04,10.39,5.00,7.04,7.30,171500,82
2019/04/02,31,7.09,16.16,5.09,6.45,6.11,131300,66
2019/04/02,32,9.80,23.61,5.45,13.24,7.48,117350,65
2019/04/02,33,10.84,17.50,6.36,17.50,11.00,170050,72
2019/04/02,34,10.69,35.09,6.43,12.20,10.60,352250,121
2019/04/02,35,15.00,28.00,6.90,19.90,13.69,315150,113
2019/04/02,36,30.00,31.10,8.00,24.90,15.06,255600,116
2019/04/02,37,39.99,50.00,7.76,40.00,22.86,368050,163
