電力受渡日,商品コード,入札価格(円/kWh),売入札量累積(MW),買入札量累積(MW),分断エリア連番
20250128,1,0.00,0.0,35399.0,
20250128,1,0.00,8973.6,35399.0,
20250128,1,0.01,27100.8,35399.0,
20250128,1,0.02,27315.5,35381.1,
20250128,1,0.03,27317.3,35370.7,
20250128,1,0.04,27364.2,35368.0,
20250128,1,0.10,27364.2,35368.0,
20250128,1,0.11,27433.9,35333.7,
20250128,1,1.00,27951.5,35333.7,
20250128,1,1.09,28237.9,35260.3,
20250128,1,1.31,28240.2,35260.3,
20250128,1,1.41,28247.6,35260.3,
20250128,1,2.50,28247.6,35260.3,
20250128,1,2.59,28251.6,35254.5,
20250128,1,2.62,28253.9,35254.5,
20250128,1,2.81,28261.3,35254.5,
20250128,1,3.00,28268.1,35254.5,
20250128,1,3.01,28270.4,35000.6,
20250128,1,3.88,28271.0,35000.6,
20250128,1,3.92,28273.3,35000.6,
20250128,1,4.00,28288.1,35000.6,
20250128,1,4.09,28292.1,35000.5,
20250128,1,4.10,28292.5,35000.5,
20250128,1,4.20,28299.9,35000.5,
20250128,1,4.37,28339.2,35000.5,
20250128,1,5.00,28891.6,35000.5,
20250128,1,5.23,28901.6,34615.8,
20250128,1,5.30,28901.6,34615.8,
20250128,1,5.38,28902.6,34415.8,
20250128,1,5.41,28902.6,34415.8,
20250128,1,5.50,28902.6,34415.7,
20250128,1,5.59,28906.6,34275.7,
20250128,1,5.60,28915.0,34275.7,
20250128,1,5.90,28915.0,34275.7,
20250128,1,6.00,28988.6,34259.2,
20250128,1,6.01,29007.7,34249.2,
20250128,1,6.31,29007.7,34248.5,
20250128,1,6.32,29008.2,34247.8,
20250128,1,6.50,29010.3,34247.8,
20250128,1,6.53,29012.6,34247.8,
20250128,1,6.57,29012.6,34247.8,
20250128,1,6.60,29013.2,34217.8,
20250128,1,6.70,29013.2,34217.8,
20250128,1,6.88,29014.2,34202.8,
20250128,1,6.98,29014.2,34202.8,
20250128,1,7.00,29023.3,34157.8,
20250128,1,7.01,29027.1,34037.8,
20250128,1,7.09,29031.1,34033.9,
20250128,1,7.10,29031.8,34033.9,
20250128,1,7.18,29032.2,34018.9,
20250128,1,7.23,29032.2,34018.9,
20250128,1,7.27,29033.7,33985.9,
20250128,1,7.30,29033.7,33685.9,
20250128,1,7.36,29033.8,33625.9,
20250128,1,7.39,29033.8,33625.9,
20250128,1,7.44,29033.8,33580.9,
20250128,1,7.48,29033.9,33520.9,
20250128,1,7.49,29033.9,33520.9,
20250128,1,7.50,29053.9,33495.9,
20250128,1,7.53,29055.4,33491.0,
20250128,1,7.58,29055.4,33491.0,
20250128,1,7.60,29055.5,33431.0,
20250128,1,7.64,29060.1,33409.2,
20250128,1,7.72,29060.1,33384.2,
20250128,1,7.80,29061.6,33324.2,
20250128,1,7.83,29074.2,33264.2,
20250128,1,7.85,29074.2,33264.2,
20250128,1,7.87,29074.2,33204.2,
20250128,1,7.88,29074.2,33017.2,
20250128,1,7.89,29094.3,33007.3,
20250128,1,7.90,29094.6,33007.3,
20250128,1,8.00,29098.6,33007.3,
20250128,1,8.01,29099.2,32918.4,
20250128,1,8.06,29100.7,32909.2,
20250128,1,8.28,29130.7,32909.2,
20250128,1,8.30,29130.7,32909.2,
20250128,1,8.33,29132.1,32905.3,
20250128,1,8.34,29132.1,32904.3,
20250128,1,8.38,29134.0,32899.0,
20250128,1,8.41,29134.0,32899.0,
20250128,1,8.42,29135.6,32847.3,
20250128,1,8.49,29136.0,32842.3,
20250128,1,8.50,29136.0,32842.3,
20250128,1,8.59,29140.0,32836.1,
20250128,1,8.60,29140.0,32836.1,
20250128,1,8.64,29140.0,32836.0,
20250128,1,8.67,29160.0,32791.0,
20250128,1,8.77,29160.0,32791.0,
20250128,1,8.83,29339.0,32789.9,
20250128,1,8.88,29339.0,32789.9,
20250128,1,8.90,29339.0,32759.9,
20250128,1,9.00,29366.3,32643.9,
20250128,1,9.01,29366.3,32521.6,
20250128,1,9.05,29366.3,32521.0,
20250128,1,9.07,29386.3,32431.0,
20250128,1,9.13,29386.3,32431.0,
20250128,1,9.14,29386.8,32341.0,
20250128,1,9.17,29386.8,32341.0,
20250128,1,9.21,29386.8,32288.0,
20250128,1,9.30,29386.8,32196.8,
20250128,1,9.34,29391.5,32106.7,
20250128,1,9.40,29391.7,32106.7,
20250128,1,9.41,29441.7,32106.7,
20250128,1,9.46,29442.1,32106.7,
20250128,1,9.48,29442.1,32106.7,
20250128,1,9.49,29442.1,32106.5,
20250128,1,9.50,29442.1,32104.9,
20250128,1,9.65,29442.1,32058.8,
20250128,1,9.77,29442.1,32054.7,
20250128,1,9.79,29442.5,32038.4,
20250128,1,9.92,29442.5,32038.4,
20250128,1,9.99,29442.5,32013.4,
20250128,1,10.00,29592.5,32012.4,
20250128,1,10.01,29610.5,31955.2,
20250128,1,10.09,29614.5,31947.2,
20250128,1,10.10,29614.5,31947.2,
20250128,1,10.20,30214.5,31946.4,
20250128,1,10.26,30215.6,31946.4,
20250128,1,10.29,30333.5,31946.4,
20250128,1,10.42,30333.5,31946.4,
20250128,1,10.44,30345.6,31929.4,
20250128,1,10.46,30345.6,31929.4,
20250128,1,10.47,30445.6,31929.2,
20250128,1,10.48,30501.5,31929.2,
20250128,1,10.50,30525.5,31929.2,
20250128,1,10.54,30525.5,31819.1,
20250128,1,10.66,30525.5,31794.1,
20250128,1,10.72,30525.5,31789.5,
20250128,1,10.79,30525.5,31789.3,
20250128,1,10.82,30525.5,31786.9,
20250128,1,10.85,30625.5,31785.2,
20250128,1,10.86,30725.5,31785.2,
20250128,1,10.87,30825.5,31785.2,
20250128,1,10.88,30862.9,31785.2,
20250128,1,10.91,30862.9,31784.0,
20250128,1,10.95,30862.9,31783.2,
20250128,1,11.00,30872.0,31636.2,
20250128,1,11.10,30872.0,31565.3,
20250128,1,11.11,30904.0,31565.1,
20250128,1,11.17,30904.0,31565.1,
20250128,1,11.38,30904.0,31540.1,
20250128,1,11.41,30904.0,31436.7,
20250128,1,11.42,30904.0,31289.7,
20250128,1,11.44,30904.0,31142.7,
20250128,1,11.50,30931.5,31142.5,
20250128,1,11.54,30931.5,31122.5,
20250128,1,11.55,31089.7,31002.5,
20250128,1,11.58,31089.7,31002.5,
20250128,1,11.59,31093.7,30855.5,
20250128,1,11.67,31093.7,30855.5,
20250128,1,11.69,31196.7,30708.5,
20250128,1,11.79,31196.7,30708.5,
20250128,1,11.83,31346.6,30683.5,
20250128,1,12.00,31416.3,30683.5,
20250128,1,12.01,31419.9,30647.0,
20250128,1,12.05,31425.1,30646.9,
20250128,1,12.10,31425.1,30646.9,
20250128,1,12.22,31465.1,30646.5,
20250128,1,12.26,31465.1,30646.5,
20250128,1,12.43,31465.1,30511.5,
20250128,1,12.46,31465.1,30511.3,
20250128,1,12.50,31467.7,29937.3,
20250128,1,12.51,31497.7,29936.0,
20250128,1,12.57,31547.6,29936.0,
20250128,1,12.67,31547.6,29936.0,
20250128,1,12.73,31621.6,29916.6,
20250128,1,12.88,31621.6,29916.6,
20250128,1,12.90,31621.8,29912.9,
20250128,1,12.99,31621.8,29912.9,
20250128,1,13.00,31660.0,29877.9,
20250128,1,13.01,31660.0,29837.9,
20250128,1,13.03,31695.0,29828.8,
20250128,1,13.05,31707.1,29828.8,
20250128,1,13.09,31707.4,29828.8,
20250128,1,13.11,31709.8,29828.8,
20250128,1,13.17,31712.2,29828.8,
20250128,1,13.19,31712.2,29828.8,
20250128,1,13.20,31712.2,29677.8,
20250128,1,13.22,31712.6,29477.8,
20250128,1,13.23,31715.0,29477.8,
20250128,1,13.24,31715.0,29477.8,
20250128,1,13.28,31789.0,29277.8,
20250128,1,13.29,31791.4,29277.8,
20250128,1,13.35,31793.8,29077.8,
20250128,1,13.40,31793.8,28874.0,
20250128,1,13.41,31793.8,28674.0,
20250128,1,13.45,31793.8,28673.8,
20250128,1,13.46,31793.8,28669.9,
20250128,1,13.47,31793.8,28645.8,
20250128,1,13.49,31793.8,28445.8,
20250128,1,13.50,31814.4,28294.8,
20250128,1,13.52,31814.4,28274.8,
20250128,1,13.53,31814.4,28273.3,
20250128,1,13.54,31814.4,28257.8,
20250128,1,13.57,31814.4,28253.5,
20250128,1,13.61,31814.4,28003.5,
20250128,1,13.62,31814.4,27953.5,
20250128,1,13.64,31814.4,27753.5,
