電力受渡日,商品コード,入札価格(円/kWh),売入札量累積(MW),買入札量累積(MW),分断エリア連番
20250209,1,0.00,0.0,41576.8,
20250209,1,0.00,9459.5,41576.8,
20250209,1,0.01,27008.5,41576.8,
20250209,1,0.02,27212.9,41549.4,
20250209,1,0.03,27214.9,41539.0,
20250209,1,0.04,27260.6,41528.1,
20250209,1,0.10,27281.4,41528.1,
20250209,1,0.11,27350.1,41489.5,
20250209,1,0.64,27543.9,41489.5,
20250209,1,1.00,28021.3,41489.5,
20250209,1,1.34,28023.6,41399.7,
20250209,1,1.54,28024.6,41399.7,
20250209,1,2.01,28024.6,41399.7,
20250209,1,2.44,28026.6,40799.7,
20250209,1,2.50,28026.6,40799.7,
20250209,1,2.66,28028.9,40786.2,
20250209,1,3.00,28245.3,40786.2,
20250209,1,3.01,28245.3,40383.6,
20250209,1,3.34,28247.3,40183.6,
20250209,1,3.99,28249.6,40183.6,
20250209,1,4.01,28254.2,40183.6,
20250209,1,4.24,28256.2,40183.6,
20250209,1,5.00,28640.0,40183.6,
20250209,1,5.01,28640.0,39847.6,
20250209,1,5.14,28642.2,39447.6,
20250209,1,5.31,28656.2,39447.6,
20250209,1,5.46,28656.2,39447.6,
20250209,1,5.50,28656.2,39247.6,
20250209,1,5.90,28656.2,39107.6,
20250209,1,6.00,28724.9,39091.8,
20250209,1,6.01,28751.0,39081.5,
20250209,1,6.04,28754.0,39081.5,
20250209,1,6.50,28758.9,39081.5,
20250209,1,6.51,28759.0,39081.5,
20250209,1,6.60,28759.6,39081.5,
20250209,1,6.64,28774.0,39081.5,
20250209,1,6.94,28777.0,39081.5,
20250209,1,7.00,28777.0,39081.5,
20250209,1,7.01,28777.8,39018.4,
20250209,1,7.10,28783.5,39017.6,
20250209,1,7.16,28783.5,39017.6,
20250209,1,7.30,28786.4,39017.5,
20250209,1,7.49,28786.4,39017.5,
20250209,1,7.50,28806.4,38713.8,
20250209,1,7.51,28806.4,38691.9,
