電力受渡日,商品コード,入札価格(円/kWh),売入札量累積(MW),買入札量累積(MW),分断エリア連番
20220605,1,0.00,0.0,29945.8,
20220605,1,0.00,10218.7,29945.8,
20220605,1,0.01,25336.5,29945.8,
20220605,1,0.02,25801.8,29856.1,
20220605,1,0.03,25826.4,29849.3,
20220605,1,0.04,25829.5,29844.3,
20220605,1,0.20,25829.8,29844.3,
20220605,1,0.21,25832.7,29844.3,
20220605,1,0.41,25835.7,29844.3,
20220605,1,0.50,25836.3,29844.3,
20220605,1,0.60,25837.3,29844.3,
20220605,1,0.61,25840.2,29844.3,
20220605,1,0.70,25841.2,29844.3,
20220605,1,0.80,25842.2,29844.3,
20220605,1,0.81,25845.1,29844.3,
20220605,1,0.87,25848.2,29844.3,
20220605,1,0.90,25849.2,29844.3,
20220605,1,0.99,25849.2,29844.3,
20220605,1,1.00,25935.5,29844.2,
20220605,1,1.01,25938.4,29721.5,
20220605,1,1.99,25939.0,29721.5,
20220605,1,2.00,25998.1,29721.5,
20220605,1,2.63,26000.1,29711.5,
20220605,1,3.00,26077.6,29711.5,
20220605,1,3.11,26078.6,29711.5,
20220605,1,3.63,26094.0,29711.5,
20220605,1,4.01,26095.0,29711.5,
20220605,1,4.25,26096.8,29711.5,
20220605,1,4.65,26363.7,29711.5,
20220605,1,4.91,26364.7,29711.5,
20220605,1,5.00,26428.1,29711.5,
20220605,1,5.81,26429.1,29709.9,
20220605,1,5.87,26431.1,29709.9,
20220605,1,6.71,26432.1,29709.9,
20220605,1,7.24,26447.5,29709.9,
20220605,1,7.49,26449.5,29709.9,
20220605,1,7.61,26450.5,29709.9,
20220605,1,7.70,26450.5,29709.9,
20220605,1,7.80,26450.5,29705.1,
20220605,1,8.00,26542.5,29703.1,
20220605,1,8.03,26542.5,29703.0,
20220605,1,8.30,26542.5,29696.0,
20220605,1,8.50,26551.5,29695.8,
20220605,1,8.51,26552.5,29695.8,
20220605,1,8.60,26851.7,29695.8,
20220605,1,8.70,26851.7,29695.8,
20220605,1,9.11,26853.5,29695.6,
20220605,1,9.41,26854.5,29692.4,
20220605,1,9.50,27111.8,29692.4,
20220605,1,9.60,27111.8,29692.4,
20220605,1,9.80,27111.8,29691.5,
20220605,1,10.00,27120.8,29691.1,
20220605,1,10.20,27120.8,29689.5,
20220605,1,10.30,27120.8,29689.3,
20220605,1,10.31,27121.8,29678.4,
20220605,1,10.40,27128.8,29678.4,
20220605,1,10.60,27128.8,29678.4,
20220605,1,10.86,27144.1,29678.2,
20220605,1,11.00,27144.1,29678.2,
20220605,1,11.06,27144.1,29678.1,
20220605,1,11.10,27144.1,29578.1,
20220605,1,11.30,27151.1,29577.1,
20220605,1,11.40,27151.1,29576.9,
20220605,1,11.81,27151.1,29574.9,
20220605,1,11.95,27151.1,29572.3,
20220605,1,11.96,27156.1,29571.0,
20220605,1,12.00,27157.3,29571.0,
20220605,1,12.11,27157.3,29480.2,
20220605,1,12.20,27164.3,29480.1,
20220605,1,12.27,27164.3,29480.0,
20220605,1,12.30,27164.3,29180.0,
20220605,1,13.00,27164.3,29178.6,
20220605,1,13.01,27164.3,29174.1,
20220605,1,13.10,27171.7,29173.4,
20220605,1,13.11,27171.7,29173.1,
20220605,1,13.20,27171.7,29173.0,
20220605,1,13.48,27171.7,29172.6,
20220605,1,13.50,27171.7,29072.6,
