電力受渡日,商品コード,入札価格(円/kWh),売入札量累積(MW),買入札量累積(MW),分断エリア連番
20221227,1,0.00,0.0,40740.4,
20221227,1,0.00,13278.2,40740.4,
20221227,1,0.01,32584.6,40740.4,
20221227,1,0.02,33332.9,40718.7,
20221227,1,0.03,33332.9,40710.0,
20221227,1,0.04,33368.3,40702.0,
20221227,1,0.06,33368.3,40702.0,
20221227,1,0.20,33368.5,40698.0,
20221227,1,0.70,33369.5,40698.0,
20221227,1,0.75,33921.4,40698.0,
20221227,1,0.80,33922.4,40698.0,
20221227,1,0.90,33923.4,40698.0,
20221227,1,1.00,34339.1,40698.0,
20221227,1,2.00,34397.0,40628.5,
20221227,1,2.50,34397.0,40624.5,
20221227,1,3.00,34506.2,40608.5,
20221227,1,4.57,34517.0,40608.5,
20221227,1,4.65,34551.1,40608.5,
20221227,1,5.00,34645.4,40608.5,
20221227,1,5.25,34650.4,40604.4,
20221227,1,5.34,34683.1,40604.4,
20221227,1,5.49,34684.3,40604.4,
20221227,1,6.00,34684.3,40604.4,
20221227,1,7.50,34689.3,40603.4,
20221227,1,8.00,34691.8,40603.4,
20221227,1,8.34,34691.8,40583.4,
20221227,1,9.01,34691.8,40083.4,
20221227,1,9.14,34702.6,40053.4,
20221227,1,9.75,34708.4,40053.4,
20221227,1,10.00,34814.3,40053.4,
20221227,1,10.05,34854.3,40032.2,
20221227,1,10.67,34886.9,40032.2,
20221227,1,10.98,34888.1,40032.2,
20221227,1,11.00,34888.1,40032.2,
20221227,1,11.95,34888.1,40013.5,
20221227,1,11.96,34894.1,40012.1,
20221227,1,12.00,34900.1,40012.1,
20221227,1,12.08,34900.3,39892.1,
20221227,1,12.26,34900.3,39892.1,
20221227,1,12.77,34900.3,39318.1,
20221227,1,13.00,34900.3,39126.9,
20221227,1,13.30,34900.3,39094.3,
20221227,1,13.40,34900.3,39093.7,
20221227,1,13.70,34911.0,39086.0,
20221227,1,13.80,34911.0,39086.0,
20221227,1,14.25,34917.0,39085.7,
20221227,1,15.00,35041.0,39085.7,
20221227,1,15.01,35071.0,39079.3,
20221227,1,15.30,35071.0,39079.3,
20221227,1,15.50,35085.0,39078.8,
20221227,1,15.60,35088.0,39078.4,
20221227,1,15.99,35120.7,39078.4,
20221227,1,16.00,35120.7,39078.4,
20221227,1,16.01,35120.7,39022.4,
20221227,1,16.02,35120.8,39019.7,
20221227,1,16.46,35122.1,39019.7,
20221227,1,16.50,35128.5,39019.7,
20221227,1,16.58,35128.5,39019.7,
20221227,1,16.60,35128.5,39019.6,
20221227,1,16.70,35128.5,39019.5,
20221227,1,16.93,35128.5,39019.0,
20221227,1,17.00,35128.5,38903.0,
20221227,1,17.10,35128.5,38882.4,
20221227,1,17.20,35128.5,38880.5,
20221227,1,17.68,35128.5,38874.8,
20221227,1,18.07,35128.5,38819.8,
20221227,1,18.10,35128.5,38774.8,
20221227,1,18.27,35139.3,38774.6,
20221227,1,18.30,35139.3,38774.6,
20221227,1,18.35,35139.3,38654.6,
20221227,1,18.50,35139.3,38572.6,
20221227,1,18.52,35143.7,38570.5,
20221227,1,18.65,35143.7,38570.5,
20221227,1,18.68,35143.7,38413.5,
20221227,1,18.69,35193.7,38410.5,
20221227,1,18.75,35200.7,38410.5,
20221227,1,18.80,35250.7,38410.5,
20221227,1,18.83,35250.7,38410.5,
20221227,1,18.91,35300.7,38410.2,
20221227,1,19.22,35300.7,38410.2,
20221227,1,19.47,35301.7,38410.1,
20221227,1,19.49,35301.7,38410.1,
20221227,1,19.59,35301.7,38408.0,
20221227,1,19.73,35301.7,38407.9,
20221227,1,19.90,35301.7,38401.8,
20221227,1,19.95,35351.7,38401.2,
20221227,1,19.97,35351.7,38401.2,
20221227,1,19.99,35401.7,38390.4,
20221227,1,20.00,35415.0,38390.4,
20221227,1,20.02,35425.7,38347.1,
20221227,1,20.09,35425.7,38347.1,
20221227,1,20.10,35425.7,38232.1,
20221227,1,20.16,35475.7,38232.0,
20221227,1,20.30,35475.7,38232.0,
20221227,1,20.39,35475.7,38231.9,
20221227,1,20.50,35475.7,38231.8,
20221227,1,20.65,35475.7,38230.8,
20221227,1,20.69,35475.7,38200.8,
20221227,1,20.99,35475.7,38200.7,
20221227,1,21.00,35482.7,38200.1,
