電力受渡日,商品コード,入札価格(円/kWh),売入札量累積(MW),買入札量累積(MW),分断エリア連番
20221027,1,0.00,0.0,35341.9,
20221027,1,0.00,10513.6,35341.9,
20221027,1,0.01,29295.3,35341.9,
20221027,1,0.02,29738.6,35338.2,
20221027,1,0.03,29738.6,35329.5,
20221027,1,0.04,29792.0,35321.5,
20221027,1,0.06,29792.0,35321.5,
20221027,1,0.15,30271.2,35317.5,
20221027,1,0.20,30271.4,35317.5,
20221027,1,0.50,30274.5,35317.5,
20221027,1,0.60,30280.5,35317.5,
20221027,1,0.70,30281.5,35317.5,
20221027,1,0.80,30282.5,35317.5,
20221027,1,0.87,30287.1,35317.5,
20221027,1,0.90,30288.1,35317.5,
20221027,1,1.00,30706.2,35317.5,
20221027,1,2.00,30760.4,35258.7,
20221027,1,2.10,30760.4,35250.7,
20221027,1,2.40,30765.4,35230.7,
20221027,1,2.50,30765.4,35230.7,
20221027,1,3.00,30895.5,35214.7,
20221027,1,3.50,30895.5,35159.9,
20221027,1,4.65,30926.9,35149.9,
20221027,1,4.75,30931.3,35149.9,
20221027,1,5.00,31000.4,35149.9,
20221027,1,5.16,31029.2,35038.4,
20221027,1,5.55,31031.3,35038.4,
20221027,1,6.00,31031.3,35038.4,
20221027,1,6.90,31037.3,35038.2,
20221027,1,7.34,31037.3,35038.2,
20221027,1,8.00,31039.9,34638.2,
20221027,1,8.72,31039.9,34538.2,
20221027,1,9.15,31045.9,34520.2,
20221027,1,9.49,31050.2,34520.2,
20221027,1,10.00,31348.8,34520.2,
20221027,1,10.32,31377.5,34489.7,
20221027,1,10.50,31382.9,34489.7,
20221027,1,10.51,31383.0,34489.7,
20221027,1,10.60,31391.2,34489.7,
20221027,1,11.09,31393.2,34489.7,
20221027,1,11.40,31399.8,34489.7,
20221027,1,11.50,31468.1,34489.7,
20221027,1,11.60,31468.1,34489.7,
20221027,1,11.70,31468.1,34489.1,
20221027,1,11.95,31468.1,34481.2,
20221027,1,11.96,31473.1,34479.5,
20221027,1,12.00,31474.9,34479.5,
20221027,1,12.10,31474.9,34473.9,
20221027,1,13.00,31474.9,34473.6,
20221027,1,13.01,31476.6,34460.9,
20221027,1,13.02,31480.1,34460.9,
20221027,1,13.20,31480.1,34460.9,
20221027,1,13.50,31480.1,34460.5,
20221027,1,13.65,31487.1,34460.1,
20221027,1,13.77,31487.1,34460.1,
20221027,1,14.24,31491.5,34460.0,
20221027,1,14.90,31491.5,34460.0,
20221027,1,15.00,31568.8,34455.8,
20221027,1,15.40,31568.8,34419.3,
20221027,1,15.47,31597.6,34418.0,
20221027,1,15.50,31597.6,34418.0,
20221027,1,15.80,31597.6,34417.6,
20221027,1,15.90,31604.6,34417.4,
20221027,1,16.00,31604.6,34417.4,
20221027,1,16.01,31607.3,34411.7,
20221027,1,16.02,31607.8,34408.1,
20221027,1,16.20,31607.8,34407.2,
20221027,1,16.37,31608.5,34405.8,
20221027,1,16.62,31610.6,34405.8,
20221027,1,16.80,31610.6,34405.8,
20221027,1,17.00,31650.0,34405.7,
20221027,1,17.07,31650.0,34405.3,
20221027,1,17.20,31650.0,34405.2,
20221027,1,17.41,31668.0,34403.9,
20221027,1,17.43,31668.0,34403.9,
20221027,1,17.45,31668.0,34403.8,
20221027,1,17.60,31668.0,34273.8,
20221027,1,17.66,31668.0,34273.4,
20221027,1,17.67,31668.0,34238.4,
20221027,1,17.68,31668.0,34188.4,
20221027,1,17.69,31668.0,34138.4,
20221027,1,17.70,31668.0,34088.4,
20221027,1,17.71,31668.0,34038.4,
20221027,1,17.72,31668.0,33988.4,
20221027,1,17.73,31718.0,33938.4,
20221027,1,17.74,31768.0,33938.4,
20221027,1,17.75,31818.0,33938.4,
20221027,1,17.76,31868.0,33938.4,
20221027,1,17.85,31918.0,33938.4,
20221027,1,17.96,31968.0,33938.4,
20221027,1,18.00,31977.0,33938.4,
20221027,1,18.01,31982.3,33938.4,
20221027,1,18.07,31990.3,33937.8,
20221027,1,18.15,31997.3,33937.8,
