電力受渡日,商品コード,入札価格(円/kWh),売入札量累積(MW),買入札量累積(MW),分断エリア連番
20221021,1,0.00,0.0,32563.2,
20221021,1,0.00,10358.7,32563.2,
20221021,1,0.01,29014.6,32563.2,
20221021,1,0.02,29475.6,32559.6,
20221021,1,0.03,29475.6,32550.9,
20221021,1,0.04,29519.9,32540.1,
20221021,1,0.06,29519.9,32540.1,
20221021,1,0.15,30041.4,32536.1,
20221021,1,0.20,30041.6,32536.1,
20221021,1,0.50,30044.6,32536.1,
20221021,1,0.70,30045.6,32536.1,
20221021,1,0.80,30046.6,32536.1,
20221021,1,0.87,30048.1,32536.1,
20221021,1,0.90,30049.1,32536.1,
20221021,1,1.00,30244.0,32536.1,
20221021,1,2.00,30297.8,32477.5,
20221021,1,2.40,30303.8,32469.5,
20221021,1,2.50,30303.8,32469.5,
20221021,1,3.00,30438.6,32449.5,
20221021,1,3.50,30438.6,32396.5,
20221021,1,3.88,30439.9,32386.5,
20221021,1,4.65,30493.7,32386.5,
20221021,1,5.00,30561.8,32386.5,
20221021,1,6.00,30588.2,32254.9,
20221021,1,6.01,30623.2,32254.7,
20221021,1,6.90,30629.2,32254.7,
20221021,1,7.34,30629.2,32254.7,
20221021,1,7.76,30630.6,31754.7,
20221021,1,8.00,30633.5,31754.7,
20221021,1,8.72,30633.5,31654.7,
20221021,1,9.15,30641.1,31638.7,
20221021,1,10.00,30914.7,31638.7,
20221021,1,10.85,30914.7,31623.6,
20221021,1,11.40,30922.7,31616.6,
20221021,1,11.50,30990.5,31616.6,
20221021,1,11.60,30990.5,31616.6,
20221021,1,11.61,30990.5,31616.0,
20221021,1,11.63,30991.9,31615.9,
20221021,1,11.70,30991.9,31615.9,
20221021,1,11.95,30991.9,31607.5,
20221021,1,11.96,30996.9,31605.8,
20221021,1,12.00,31067.3,31605.8,
20221021,1,12.10,31067.3,31601.6,
20221021,1,12.50,31073.3,31601.3,
20221021,1,12.51,31073.4,31601.3,
20221021,1,13.01,31075.1,31601.3,
20221021,1,13.02,31078.5,31601.3,
20221021,1,13.20,31078.5,31601.3,
20221021,1,13.50,31078.5,31600.9,
20221021,1,13.65,31086.5,31600.5,
20221021,1,13.86,31086.5,31600.5,
20221021,1,14.90,31086.5,31599.5,
20221021,1,15.00,31173.2,31595.1,
20221021,1,15.40,31173.2,31573.2,
20221021,1,15.50,31173.2,31572.0,
20221021,1,15.51,31174.5,31571.6,
20221021,1,15.60,31184.5,31571.6,
20221021,1,15.79,31185.5,31571.6,
20221021,1,15.80,31185.5,31571.6,
20221021,1,15.90,31193.5,31571.4,
20221021,1,16.00,31193.5,31571.4,
20221021,1,16.01,31195.9,31565.8,
20221021,1,16.02,31196.4,31562.2,
20221021,1,16.20,31196.4,31562.2,
20221021,1,16.26,31196.4,31560.8,
20221021,1,16.37,31197.1,31559.5,
20221021,1,16.50,31197.1,31559.5,
20221021,1,16.80,31197.1,31559.4,
20221021,1,17.00,31235.4,31559.3,
20221021,1,17.17,31235.4,31559.0,
20221021,1,17.24,31235.4,31519.0,
20221021,1,17.35,31235.4,31459.0,
20221021,1,17.43,31235.4,31377.0,
20221021,1,17.46,31235.4,31376.9,
20221021,1,17.60,31235.4,31333.9,
20221021,1,17.82,31235.4,31333.5,
20221021,1,17.84,31235.4,31286.5,
20221021,1,18.00,31279.3,31283.5,
20221021,1,18.01,31284.5,31283.5,
20221021,1,18.15,31292.5,31282.9,
20221021,1,18.23,31292.5,31282.9,
20221021,1,18.27,31292.5,31232.9,
20221021,1,18.36,31292.5,31232.3,
20221021,1,18.46,31392.5,31224.3,
20221021,1,18.50,31392.5,31224.3,
20221021,1,18.57,31533.3,31218.5,
20221021,1,18.60,31533.3,31218.5,
20221021,1,18.62,31533.3,31218.4,
20221021,1,18.80,31533.3,31188.4,
20221021,1,18.89,31533.3,31187.4,
20221021,1,19.15,31533.3,31157.4,
20221021,1,19.18,31541.8,31127.4,
20221021,1,19.20,31541.8,31127.4,
20221021,1,19.29,31741.8,31127.3,
20221021,1,19.38,31743.2,31119.5,
20221021,1,19.62,31743.2,31119.5,
20221021,1,19.78,31743.2,31119.4,
20221021,1,19.80,31743.2,31119.3,
20221021,1,19.91,31744.1,31118.8,
20221021,1,19.92,31744.1,31118.8,
20221021,1,19.97,31744.1,31118.0,
20221021,1,20.00,31775.9,31111.1,
20221021,1,20.01,31922.6,31100.4,
